feature,shap_importance
WGS10YRchange,0.18257054019820232
DEXCHUS,0.06033096568227769
1ybeforepricechange,0.0285552033859466
salesgrowth,0.02666316320502925
DGORDERchange,0.02208765550799945
capexsales,0.011028622718507892
1ychangepe,0.01055674676655279
ptb,0.0
evocf,0.0
evebitda,0.0
evs,0.0
unrate,0.0
pb,0.0
debttoequity,0.0
pfcf,0.0
pocf,0.0
ps,0.0
 pe ,0.0
Price,0.0
evfcf,0.0
currentratio,0.0
debttoassets,0.0
netdebtebitda,0.0
Own Change,0.0
interestcoverage,0.0
capexocf,0.0
sbcsales,0.0
roic,0.0
roe,0.0
ebitgrowth,0.0
fcfgrowth,0.0
3ysalesgrowth,0.0
3yocfgrowth,0.0
3yequitygrowth,0.0
inventorygrowth,0.0
assetgrowth,0.0
Value Traded,0.0
BOGMBASEchange,0.0
Insiders,0.0
WBAAchange,0.0
INDPRO,0.0
SPCS20RSAchange,0.0
SPCS20RSA,0.0
DEXCHUSchange,0.0
DEXUSEUchange,0.0
DEXUSEU,0.0
WBAA,0.0
m2supply,0.0
WGS10YR,0.0
WGS3MOchange,0.0
WGS3MO,0.0
fedfundschange,0.0
fedfunds,0.0
m2supplychange,0.0
INDPROchange,0.0
TCU,0.0
TCUchange,0.0
BUSINV,0.0
BUSINVchange,0.0
DGORDER,0.0
BUSLOANS,0.0
BUSLOANSchange,0.0
TOTALSL,0.0
TOTALSLchange,0.0
HOUST,0.0
HOUSTchange,0.0
UNDCONTSA,0.0
UNDCONTSAchange,0.0
PSAVERT,0.0
PSAVERTchange,0.0
BOGMBASE,0.0
debtgrowth,0.0
