feature,weight
intercept,-1.291340237994695
unrate,0.6306593481797216
m2supply,-0.05097643212832783
m2supplychange,-0.5939361970176442
fedfunds,-0.15336946666832535
fedfundschange,-0.11301161537847426
WGS3MO,-0.5779942170420321
WGS3MOchange,-0.0014017063119179363
WGS10YR,-1.1186873128890842
WGS10YRchange,-0.4344170597852146
WBAA,0.5008236274838475
WBAAchange,0.5996060119538034
DEXUSEU,-0.240121927766618
DEXUSEUchange,-0.14359676859901802
DEXCHUS,0.4007989974488965
DEXCHUSchange,0.20168984961940367
SPCS20RSA,-0.34698852930390356
SPCS20RSAchange,-0.14823181716076356
INDPRO,0.3400086457329151
INDPROchange,-0.3503886541505915
TCU,0.3180830041214001
TCUchange,-0.1945971598903078
BUSINV,-0.014413860662782683
BUSINVchange,-0.28035145550483875
DGORDER,-0.3697030138354601
DGORDERchange,0.6427664302978224
BUSLOANS,-0.4783379671343157
BUSLOANSchange,-0.31193356661488425
TOTALSL,0.2713000232763508
TOTALSLchange,-0.14291146223301723
HOUST,0.05405969760008514
HOUSTchange,0.10956435098446761
UNDCONTSA,-0.2294699680401218
UNDCONTSAchange,-0.759731500121607
PSAVERT,-0.6513610170246191
PSAVERTchange,0.13381678502241384
BOGMBASE,0.30690062558997816
BOGMBASEchange,0.505487677093848
Insiders,0.22538067593444852
Own Change,0.07035628684851383
Value Traded,-0.2311166945848191
Price,-0.6315932550217491
1ybeforepricechange,0.09387224416530444
 pe ,0.1580825522301639
1ychangepe,-0.08291050603519463
ps,-0.0580273526337117
pocf,0.0036283926116490767
pfcf,0.2769504009867233
pb,0.03799680376284592
ptb,0.03799680376284592
evs,-0.04628255111980558
evebitda,0.13623406030476495
evocf,-0.11144016778824048
evfcf,-0.15743178955635567
debttoequity,-0.003358099580226578
debttoassets,-0.09360194797944661
netdebtebitda,0.17809834624480544
currentratio,-0.39469115712902103
interestcoverage,-0.11164538545207829
capexocf,-0.05478134786677125
capexsales,0.18663744487576364
sbcsales,-0.10481006933608318
roic,0.2629823961765364
roe,0.2276420171275019
salesgrowth,-0.6077096252407348
ebitgrowth,-0.08618043392878844
fcfgrowth,0.014767970030739689
3ysalesgrowth,-0.30445654348482865
3yocfgrowth,0.33691671900478803
3yequitygrowth,-0.1200237214453434
inventorygrowth,0.030806860873834035
assetgrowth,0.08555046445976376
debtgrowth,-0.2623277535242168
