feature,shap_importance
currentratio,10.62014393157862
WGS10YR,0.876901519406161
UNDCONTSAchange,0.6979293473017423
DGORDERchange,0.5024677742931964
WBAAchange,0.4965182344195848
unrate,0.4629609484076707
PSAVERT,0.45874066277724934
m2supplychange,0.4548938249878305
WBAA,0.43081191997903356
BOGMBASEchange,0.41287736319213925
WGS10YRchange,0.3891066276924581
DEXCHUS,0.36890856276441714
BUSLOANS,0.34948117934990497
SPCS20RSA,0.32116769580389426
DGORDER,0.30993107914859197
INDPROchange,0.2925226036355959
Price,0.29200401970420015
BUSLOANSchange,0.2664446700312691
TCU,0.24659987651479365
WGS3MO,0.2417347332238305
INDPRO,0.24093523128154126
BUSINVchange,0.2402279982699218
BOGMBASE,0.23807046893752878
TOTALSL,0.2183410130417003
DEXUSEU,0.1878964203192721
TCUchange,0.16845360809977453
DEXCHUSchange,0.16387810486523474
Insiders,0.15618355157295796
SPCS20RSAchange,0.14270198220993477
Value Traded,0.12669342943383505
PSAVERTchange,0.12111412844686253
TOTALSLchange,0.11344470081306918
DEXUSEUchange,0.107615863398077
pfcf,0.09315619564438218
fedfundschange,0.09164445002486926
 pe ,0.07426793123414864
HOUSTchange,0.07346657173792492
fedfunds,0.06884988223376379
Own Change,0.06671381614213011
3yocfgrowth,0.06077990529223653
evfcf,0.05634882591800794
1ybeforepricechange,0.05035278021180166
m2supply,0.045265337107003124
salesgrowth,0.04400327040975061
UNDCONTSA,0.019716998985004265
assetgrowth,0.01676686736945609
netdebtebitda,0.015187658629479756
debttoassets,0.014309303163646647
3ysalesgrowth,0.013624519684020809
BUSINV,0.012764410214836283
evocf,0.009992372822737208
evebitda,0.008201587334334652
HOUST,0.007111032937312284
1ychangepe,0.006555532251894019
pb,0.0062018294290330555
ptb,0.0062018294290330555
debtgrowth,0.0050526354149568915
inventorygrowth,0.004564767179317823
3yequitygrowth,0.0038061217177722817
capexocf,0.003059646292505044
ebitgrowth,0.0029545753881290936
interestcoverage,0.0025547998512472827
fcfgrowth,0.002525821271772144
roe,0.0018944604407127674
WGS3MOchange,0.001006051477301801
debttoequity,0.0004809048809004306
roic,0.0004277177472642066
pocf,0.0003070946863262523
capexsales,0.00019327546487331532
ps,1.889483173713274e-05
evs,1.4601749725074855e-05
sbcsales,1.2988190706850806e-07
