feature,mean_importance
3yocfgrowth,-0.004823327258331844
WGS10YRchange_ratio_TOTALSLchange,-0.0037865834709550072
assetgrowth,-0.003423739174648899
netdebtebitda,-0.0011761756696592185
ptb,-0.0011642912785727933
pb,-0.0011642912785727933
Own Change,-0.0007881157258375459
inventorygrowth,-0.0006685577961432765
PSAVERTchange,-0.0006135524819414373
HOUST_multiply_TCUchange,-0.0005781863296703494
HOUST,-0.0005750298681944877
capexocf,-0.00035317582116151103
interestcoverage,-0.00029489205903382443
fcfgrowth,-0.00024163082832280304
WGS3MOchange,-0.00010977026097367393
evebitda,-0.00010609100476139943
roic,-4.140875008847855e-05
capexsales,-3.2519931762498014e-05
ps,-2.793309767801233e-06
evs,-2.4106298557646787e-06
sbcsales,-1.3768482520770675e-08
m2supply,3.0895722881729704e-06
debttoequity,1.0304951239337169e-05
DEXCHUSchange,2.753944515695439e-05
3yequitygrowth,2.8493625454539817e-05
debtgrowth,4.2833276257725485e-05
pocf,5.3266203958124425e-05
BUSLOANS_ratio_SPCS20RSA,7.587506974966462e-05
1ychangepe,9.995433698686273e-05
TCU_ratio_DEXCHUS,0.00013061830389330398
DEXCHUS_ratio_TCU,0.00016385922566714006
ebitgrowth,0.0002001709785060646
roe,0.00034423223332801233
fedfunds,0.00036155010049652157
WGS10YRchange_diff_BUSLOANSchange,0.00043156011178090424
debttoassets,0.0006256344283474991
DEXUSEUchange,0.0006362915792077594
1ybeforepricechange,0.0008586520246205321
3ysalesgrowth,0.0009657031908666625
SPCS20RSA_ratio_BUSLOANS,0.0011717436371252777
evocf,0.0012454225602240743
 pe ,0.0012567806474611976
salesgrowth,0.0016359316990663287
DEXUSEU_multiply_m2supply,0.001666220068078772
WGS10YRchange,0.002023467355875619
TOTALSL,0.0023628095807424975
fedfundschange,0.0024109649263912127
pfcf,0.002608177935280109
unrate_diff_WGS10YRchange,0.0027434795188962303
TCUchange,0.0028545520789973523
Value Traded,0.0030068514657052734
evfcf,0.0030177056590472984
TOTALSLchange,0.003749431840907991
SPCS20RSAchange,0.004133462662610665
BOGMBASE,0.005188556048829151
UNDCONTSA,0.005824776541274135
BUSINV,0.0063862455084404916
Insiders,0.0064025353022884035
HOUSTchange,0.0066557972733285896
WGS3MO,0.009045683409611737
BUSINVchange,0.01105169278950443
currentratio,0.011309353096788387
BUSLOANSchange,0.011405673941526539
DGORDER,0.011971958141735461
INDPRO,0.014304426256304226
INDPROchange,0.014893075216734131
TCU,0.014986113232719856
DEXCHUS,0.015031476334304118
SPCS20RSA,0.015889841633828693
DEXUSEU,0.016545819024552978
Price,0.030486811016609515
BUSLOANS,0.03250090280645692
WBAA,0.03279431896476698
m2supplychange,0.040395104426045325
DGORDERchange,0.044904651982897094
WBAAchange,0.04979064419320926
unrate,0.0532906320541844
BOGMBASEchange,0.056357549197262255
PSAVERT,0.06451907753758765
WGS10YR,0.06554961184617393
WGS10YR_diff_TOTALSL,0.07280276144452907
UNDCONTSAchange,0.1023403194670407
