feature,weight
intercept,-1.4094671171329745
unrate,0.7054907362190763
m2supply,-0.05867675864987704
m2supplychange,-0.4949162980191369
fedfunds,-0.15526815692276696
fedfundschange,-0.07872236000317406
WGS3MO,-0.4470046241245115
WGS3MOchange,0.07173622852250133
WGS10YR,-0.8658092154754359
WGS10YRchange,-0.572798104335469
WBAA,0.3793691616190795
WBAAchange,0.6236797949277815
DEXUSEU,-0.2883054769625706
DEXUSEUchange,-0.13250627377654733
DEXCHUS,0.4250440096400509
DEXCHUSchange,0.17691255813966614
SPCS20RSA,-0.28097513307274996
SPCS20RSAchange,-0.13425679256466252
INDPRO,0.329969081568835
INDPROchange,-0.36499229789309173
TCU,0.29675166915259227
TCUchange,-0.2342504651517519
BUSINV,-0.06114214411525955
BUSINVchange,-0.15220292485823844
DGORDER,-0.2647937392508614
DGORDERchange,0.7253774996328037
BUSLOANS,-0.5312617359049511
BUSLOANSchange,-0.15118909931099858
TOTALSL,0.1900324422007682
TOTALSLchange,-0.11670758324771861
HOUST,-0.03763126998148821
HOUSTchange,0.1303759052859495
UNDCONTSA,-0.13475228962400987
UNDCONTSAchange,-0.7441520117753518
PSAVERT,-0.6952216251677619
PSAVERTchange,0.14981145310676344
BOGMBASE,0.23116429367193528
BOGMBASEchange,0.514732062236179
Insiders,0.20665515651437252
Own Change,0.07144412111203385
Value Traded,-0.2008184500176275
Price,-0.6143125905186029
1ybeforepricechange,0.17741321270473984
 pe ,0.1313469059002204
1ychangepe,0.0056669968272250165
ps,-0.0007471807772769859
pocf,0.16073574817697503
pfcf,0.34878561591255935
pb,-0.003576176142717733
ptb,-0.003576176142717733
evs,0.012295349947530705
evebitda,0.13673678626133032
evocf,-0.2367000483665836
evfcf,-0.07022691292274161
debttoequity,-0.04686175020537799
debttoassets,-0.0062504686101397585
netdebtebitda,0.23997265537622686
currentratio,-0.38261023234460173
interestcoverage,-0.17572754919631367
capexocf,-0.0645393766955052
capexsales,0.2294920916948667
sbcsales,-0.1470783100289656
roic,0.20967149773565147
roe,0.32194149646819226
salesgrowth,-0.5879624636137275
ebitgrowth,-0.021240885027072835
fcfgrowth,0.04598638451211054
3ysalesgrowth,-0.3570974258192532
3yocfgrowth,0.2372374210881961
3yequitygrowth,-0.06976381805702943
inventorygrowth,0.19598643788331746
assetgrowth,0.2342254489873852
debtgrowth,-0.3121983114622895
Dist_Cluster_0,-0.2536795862376228
Dist_Cluster_1,0.18267653070989662
Dist_Cluster_2,0.19584042423667766
Dist_Cluster_3,0.18299366162858638
Dist_Cluster_4,-0.18350214238873355
Dist_Cluster_5,-0.049320043696757146
Dist_Cluster_6,-0.18994429933862553
Dist_Cluster_7,-0.5309105051693921
Dist_Cluster_8,-0.5982941880617709
Dist_Cluster_9,-0.12635221078407252
Dist_Cluster_10,0.2927394603264244
Dist_Cluster_11,0.0032242018802000746
Dist_Cluster_12,0.08870844020529578
Dist_Cluster_13,0.01744318045070933
Dist_Cluster_14,-0.06174891669493319
Dist_Cluster_15,0.28769484566283954
Dist_Cluster_16,-0.4573739859024589
Dist_Cluster_17,-0.16311845104674402
Dist_Cluster_18,-0.057163250848731494
Dist_Cluster_19,0.26924570020993954
Dist_Cluster_20,-0.5286273244798816
Dist_Cluster_21,0.5514164898207488
Dist_Cluster_22,0.1717827956856405
Dist_Cluster_23,0.22751875134174165
Cluster,0.09358111570189633
