feature,mean_importance
Value Traded,-0.013373718329715211
TCU,-0.012887263441859486
ps,-0.01002948180324551
salesgrowth,-0.01000031221737987
evs,-0.009854159466676782
DGORDER,-0.008888309724215459
capexocf,-0.006887696804643029
DEXUSEUchange,-0.0068293295848183555
WGS10YR,-0.006754331004717529
unrate,-0.006301305282601477
HOUST,-0.006069836079449509
evebitda,-0.00494693725324864
TOTALSLchange,-0.0044132896138748155
INDPRO,-0.004251619166129117
roe,-0.0037512046405899667
evfcf,-0.003459065744313916
INDPROchange,-0.0033874250076768807
PSAVERT,-0.0030855449164497893
UNDCONTSAchange,-0.0029762763015558137
pb,-0.002859986748836829
currentratio,-0.002820477350520112
debttoassets,-0.002815045087855461
BUSLOANSchange,-0.00252540327639863
fedfunds,-0.002315372062659293
sbcsales,-0.002025385497318899
SPCS20RSAchange,-0.0019854233379601903
DEXCHUSchange,-0.0018355552661646125
TCUchange,-0.0017332817323863158
BUSINVchange,-0.0016117671905637842
fcfgrowth,-0.0015239518951488118
TOTALSL,-0.0014714654451584263
HOUSTchange,-0.001408351805246355
assetgrowth,-0.0010192512575686319
Own Change,-0.000787956487698116
BUSINV,-0.0007544839382786717
m2supplychange,-0.0006127985813398351
BOGMBASEchange,-0.000564176976641273
UNDCONTSA,-0.0005106713521055073
WGS3MO,-0.00043349119264557423
DGORDERchange,-0.0003602590805802719
WGS3MOchange,-0.0002449552816527922
evocf,-0.00020324856705226103
BUSLOANS,-0.000152607616177447
m2supply,-0.00015060210371540262
DEXUSEU,-7.79808212790667e-05
netdebtebitda,-4.8718708202355467e-05
ptb,0.0
SPCS20RSA,0.0
1ychangepe,0.00024349701920303168
WBAA,0.00024708234251020756
debtgrowth,0.0004090489031242095
debttoequity,0.0005181635522586769
PSAVERTchange,0.0005760792659579739
WBAAchange,0.0007980132666085659
pfcf,0.0008171181799795036
inventorygrowth,0.0010663802864178562
interestcoverage,0.0011634181898720676
fedfundschange,0.001264275926371994
WGS10YRchange,0.0013479705373508955
BOGMBASE,0.0017901056688660044
3ysalesgrowth,0.001856589735645353
3yequitygrowth,0.001934231579402812
ebitgrowth,0.0021497067720115727
DEXCHUS,0.0025899745465897015
3yocfgrowth,0.0036074039879294252
pocf,0.004029408784665056
roic,0.004640583494611705
Insiders,0.005327600300010771
1ybeforepricechange,0.006185955726448267
 pe ,0.006668638895871359
capexsales,0.00790863898850649
Price,0.02478734217688201
