feature,shap_importance
WGS10YRchange,0.73694426
DEXCHUS,0.7144125
Price,0.40324342
1ybeforepricechange,0.24420285
ebitgrowth,0.2253846
 pe ,0.22070481
assetgrowth,0.20245449
DGORDER,0.20095472
TCU,0.19690424
capexsales,0.17774248
salesgrowth,0.17654079
Value Traded,0.16712649
fcfgrowth,0.16359796
Insiders,0.15622295
debtgrowth,0.14796752
netdebtebitda,0.1468068
Own Change,0.14371994
roe,0.14318939
3yocfgrowth,0.14048533
INDPROchange,0.13683173
1ychangepe,0.13347404
DEXUSEUchange,0.13188921
evs,0.12507862
3yequitygrowth,0.12128122
sbcsales,0.12121088
ps,0.12091325
interestcoverage,0.10937749
WGS10YR,0.107333876
capexocf,0.1050134
pocf,0.100873806
roic,0.09123942
pb,0.08784147
debttoequity,0.08765852
DEXCHUSchange,0.08724926
evocf,0.081810266
evebitda,0.07972736
PSAVERT,0.074814156
inventorygrowth,0.07438981
debttoassets,0.07343323
pfcf,0.07107534
INDPRO,0.069820344
currentratio,0.061754126
3ysalesgrowth,0.06079939
evfcf,0.058207303
HOUST,0.052441858
TCUchange,0.05212844
unrate,0.0499609
UNDCONTSAchange,0.045500215
fedfunds,0.034657665
BUSLOANS,0.034165714
TOTALSLchange,0.03393584
SPCS20RSAchange,0.033799443
DEXUSEU,0.033649366
WBAA,0.029754838
BUSLOANSchange,0.028553348
fedfundschange,0.027274327
BUSINV,0.025278429
TOTALSL,0.02195547
DGORDERchange,0.020114686
WGS3MOchange,0.019591924
PSAVERTchange,0.018791921
HOUSTchange,0.017784575
BOGMBASE,0.016787153
WBAAchange,0.015578047
m2supply,0.015157869
BOGMBASEchange,0.01507815
BUSINVchange,0.011019938
UNDCONTSA,0.007996632
WGS3MO,0.006383318
m2supplychange,0.004507337
SPCS20RSA,0.0
ptb,0.0
