feature,mean_importance
Value Traded,-0.009916276448715922
WGS10YRchange_ratio_TOTALSLchange,-0.008421639405263904
ebitgrowth,-0.005285597223628391
debttoassets,-0.005091936680608533
DGORDERchange,-0.0038331329180525064
roe,-0.003489123845869091
HOUST,-0.0033609709153554325
DGORDER,-0.003216578801095571
unrate,-0.0030700050480037986
BOGMBASE,-0.002861947182319291
BUSLOANS_ratio_SPCS20RSA,-0.0025485069585561293
fedfundschange,-0.0024006409786298645
Own Change,-0.0023834897000580167
evfcf,-0.0020537346292738624
capexocf,-0.0020527407456622736
UNDCONTSAchange,-0.0016054524766268119
PSAVERT,-0.0013680497020654436
WGS10YR_diff_TOTALSL,-0.0012881441754048594
pfcf,-0.0010462948745409094
pocf,-0.0008586505511926745
WGS3MO,-0.0008535369720254038
fcfgrowth,-0.0008221891246158019
INDPRO,-0.0007897114950126238
debttoequity,-0.0007708799225959572
fedfunds,-0.0006669942985923938
WBAAchange,-0.0005033624717437401
INDPROchange,-0.000497310787723193
BUSLOANSchange,-0.00044623082842781825
pb,-0.00041275510742877497
PSAVERTchange,-0.00040077638576034856
TOTALSL,-0.00039006766343755437
SPCS20RSAchange,-0.00038391875239651707
3yequitygrowth,-0.0003465461174037565
DEXUSEU,-0.00031572820260140634
WGS10YR,-0.00031569308470402735
TCU,-0.00031227502542503506
UNDCONTSA,-0.00030640761963034445
DEXUSEUchange,-0.0002779954670797835
m2supply,-0.0002390037905184772
DEXCHUS,-0.0001418021171863182
WGS10YRchange_diff_BUSLOANSchange,-0.00010038933475358114
DEXUSEU_multiply_m2supply,-8.252347323901565e-05
WBAA,-1.7977233019950135e-05
DEXCHUS_ratio_TCU,0.0
SPCS20RSA_ratio_BUSLOANS,0.0
ptb,0.0
unrate_diff_WGS10YRchange,0.0
HOUST_multiply_TCUchange,0.0
TOTALSLchange,7.253646278082559e-06
evebitda,1.2714071837094388e-05
m2supplychange,7.670404479902526e-05
HOUSTchange,0.00013033250062939318
interestcoverage,0.00020187334085631782
DEXCHUSchange,0.00020971814850706538
WGS3MOchange,0.00023374908123126038
SPCS20RSA,0.0002448635376237296
BUSLOANS,0.00024642413984425903
TCUchange,0.00025209769665116564
BUSINVchange,0.000269188692909772
1ychangepe,0.0003159519665300259
currentratio,0.00031750850880175597
ps,0.00038823748181242567
evocf,0.0005160070692397989
BUSINV,0.0005432042409119319
3ysalesgrowth,0.0005504756034843461
assetgrowth,0.0006589803620968282
evs,0.0012185859277445866
BOGMBASEchange,0.001306489626272256
3yocfgrowth,0.0013107068020768553
inventorygrowth,0.0014146787898870028
WGS10YRchange,0.001977365528951491
 pe ,0.0026208046450146073
salesgrowth,0.00337344010554983
sbcsales,0.003489326678711646
netdebtebitda,0.003915850461239001
1ybeforepricechange,0.0042304279766462675
debtgrowth,0.004720915555547089
Insiders,0.004730931826825125
capexsales,0.005884946298955418
roic,0.008770374604747555
Price,0.013878071256498693
TCU_ratio_DEXCHUS,0.04593026826506717
