feature,shap_importance
TCU_ratio_DEXCHUS,0.833647
Price,0.33298165
BUSLOANS_ratio_SPCS20RSA,0.28718847
WGS10YRchange,0.22594714
WGS10YRchange_ratio_TOTALSLchange,0.20856941
ebitgrowth,0.20285708
1ybeforepricechange,0.18593775
 pe ,0.16172364
assetgrowth,0.14676823
evs,0.12460426
capexsales,0.1217546
Value Traded,0.1126354
fcfgrowth,0.109322146
DGORDER,0.10587963
Insiders,0.10558754
salesgrowth,0.10508224
roe,0.100348905
netdebtebitda,0.10020136
DEXCHUS,0.10005872
sbcsales,0.097020656
roic,0.09639136
3yequitygrowth,0.09313228
debtgrowth,0.09297145
debttoequity,0.091812015
1ychangepe,0.090258725
Own Change,0.08929138
interestcoverage,0.085754916
3yocfgrowth,0.08439654
pocf,0.078585826
DEXUSEUchange,0.07689433
pb,0.07656503
debttoassets,0.07473456
DEXCHUSchange,0.07272451
ps,0.071467
capexocf,0.07071921
INDPROchange,0.07011584
evocf,0.06569226
WGS10YR,0.06329457
unrate,0.060633488
inventorygrowth,0.056846164
INDPRO,0.047105696
evebitda,0.046364475
pfcf,0.04336466
BUSLOANSchange,0.040175762
3ysalesgrowth,0.03599094
evfcf,0.03475468
WGS10YR_diff_TOTALSL,0.03182135
HOUST,0.030060343
currentratio,0.02841668
WBAA,0.027593566
PSAVERT,0.026421921
TCU,0.025904488
BUSINV,0.025714507
UNDCONTSAchange,0.02270854
TCUchange,0.021832177
DGORDERchange,0.021594333
WGS3MO,0.01978779
fedfundschange,0.019135745
WBAAchange,0.0170536
PSAVERTchange,0.016465928
DEXUSEU,0.015241168
BOGMBASE,0.015049315
WGS3MOchange,0.0146670155
HOUSTchange,0.010368212
BOGMBASEchange,0.010077251
m2supply,0.009305872
BUSLOANS,0.0084756715
WGS10YRchange_diff_BUSLOANSchange,0.0077247415
HOUST_multiply_TCUchange,0.00761166
TOTALSLchange,0.007053577
TOTALSL,0.006312511
fedfunds,0.0058228304
SPCS20RSAchange,0.0056037474
UNDCONTSA,0.005019249
BUSINVchange,0.0034087156
DEXUSEU_multiply_m2supply,0.0027779192
m2supplychange,0.0025296335
SPCS20RSA,0.00086783577
DEXCHUS_ratio_TCU,0.0
unrate_diff_WGS10YRchange,0.0
ptb,0.0
SPCS20RSA_ratio_BUSLOANS,0.0
