feature,mean_importance
BUSLOANS_ratio_SPCS20RSA,-0.014779180866200059
ebitgrowth,-0.012713171404491496
evs,-0.009580521342960679
assetgrowth,-0.008926663835587012
3ysalesgrowth,-0.008800978277469174
HOUST,-0.0077499340420729475
WGS10YRchange,-0.0066551922740645695
DGORDER,-0.004748960269108859
inventorygrowth,-0.004012429010275475
evebitda,-0.003705073608507048
DEXUSEUchange,-0.0036456378266165102
BUSINV,-0.0036123315519624886
3yocfgrowth,-0.0035536123441206047
1ychangepe,-0.0032325371079645728
WGS10YRchange_diff_BUSLOANSchange,-0.0026920115289317927
TCU,-0.0026405283519385205
WGS10YR,-0.0021122215220401586
PSAVERTchange,-0.002101048812808981
debttoequity,-0.0018727108104903412
WGS10YR_diff_TOTALSL,-0.0017529597402126118
INDPROchange,-0.0017006664917103564
WBAA,-0.0015890618773477417
WGS3MOchange,-0.0013308509469387331
BUSLOANS,-0.0013068958787446406
currentratio,-0.0011430784989674315
TCUchange,-0.0006896179681426751
UNDCONTSA,-0.0006646824197515833
DEXUSEU_multiply_m2supply,-0.0003007510602962782
DEXCHUS,-0.00026309793582394156
HOUST_multiply_TCUchange,-0.00010693688377901855
DEXCHUS_ratio_TCU,0.0
SPCS20RSA_ratio_BUSLOANS,0.0
unrate_diff_WGS10YRchange,3.282907997953499e-05
WGS10YRchange_ratio_TOTALSLchange,0.0004956914844125415
BOGMBASEchange,0.0006001738816865277
SPCS20RSA,0.0007835569946561205
HOUSTchange,0.0008669475560505235
roic,0.0011099705711107078
interestcoverage,0.0014792988883836733
ps,0.003564406843992285
Insiders,0.004830582444179143
1ybeforepricechange,0.005025406424451329
3yequitygrowth,0.00864467510944501
pb,0.01062246901810785
 pe ,0.01150305892402147
capexsales,0.012392744239504672
Price,0.022007746635829606
TCU_ratio_DEXCHUS,0.0366358192886832
