feature,shap_importance
TCU_ratio_DEXCHUS,0.98880804
WGS10YRchange,0.44846496
Price,0.44710737
BUSLOANS_ratio_SPCS20RSA,0.36581534
ebitgrowth,0.36280555
assetgrowth,0.2910876
1ybeforepricechange,0.27759954
capexsales,0.24863996
evs,0.2473422
 pe ,0.24085398
3yocfgrowth,0.21816663
Insiders,0.20660688
1ychangepe,0.19460791
pb,0.18718344
ps,0.1790612
roic,0.1675537
interestcoverage,0.16422275
debttoequity,0.16375256
WGS10YR,0.16324268
DGORDER,0.1586082
3ysalesgrowth,0.15789664
3yequitygrowth,0.15427034
evebitda,0.13698529
DEXUSEUchange,0.121083125
DEXCHUS,0.11891437
inventorygrowth,0.10249684
HOUST,0.08060648
currentratio,0.08009099
BUSINV,0.07634545
WGS10YR_diff_TOTALSL,0.07598968
INDPROchange,0.07065211
WGS3MOchange,0.06165353
TCU,0.05028817
PSAVERTchange,0.049218487
BOGMBASEchange,0.047797933
WBAA,0.040999446
HOUSTchange,0.040379565
BUSLOANS,0.035946283
WGS10YRchange_ratio_TOTALSLchange,0.0325703
UNDCONTSA,0.020154515
SPCS20RSA,0.019004801
WGS10YRchange_diff_BUSLOANSchange,0.018645693
TCUchange,0.016570443
DEXUSEU_multiply_m2supply,0.007798061
HOUST_multiply_TCUchange,0.0036608623
unrate_diff_WGS10YRchange,0.0014480429
SPCS20RSA_ratio_BUSLOANS,0.0
DEXCHUS_ratio_TCU,0.0
