feature,mean_importance
salesgrowth,-0.009497812538308292
ps,-0.00649596359023602
Dist_Cluster_17,-0.006135671151293787
roe,-0.005862393918287678
HOUST,-0.004798835009737423
TCU,-0.004320299021619045
DEXCHUSchange,-0.00401194232898614
Dist_Cluster_13,-0.003193333624389483
evebitda,-0.0031787416833938265
Value Traded,-0.002818674223587181
Dist_Cluster_0,-0.002649196010348587
Own Change,-0.0024842504920729257
DEXUSEUchange,-0.0023810633205537113
Dist_Cluster_1,-0.002367081094665613
Dist_Cluster_7,-0.0022888949754471867
WBAA,-0.0022612186286035786
evs,-0.0021510089665933265
debttoassets,-0.002144800215657072
INDPROchange,-0.002048953943171139
inventorygrowth,-0.0020179167585131384
Dist_Cluster_4,-0.001997926333207778
Dist_Cluster_11,-0.0018742437946088542
WGS10YR,-0.0017372045908776279
Dist_Cluster_15,-0.0017185958204204098
unrate,-0.001523346299095374
pfcf,-0.001383484726229367
pocf,-0.0013662869399403755
BUSINVchange,-0.0013286256069028669
PSAVERT,-0.001241842125826842
TOTALSLchange,-0.001178996900810958
fcfgrowth,-0.0011202313557004185
SPCS20RSAchange,-0.001020139374216611
BUSLOANSchange,-0.0009383270692261081
Dist_Cluster_5,-0.0009308705615944324
3yequitygrowth,-0.0009303268826430066
Dist_Cluster_12,-0.0009124951935459147
UNDCONTSAchange,-0.0009010610144806642
Dist_Cluster_20,-0.0008958940430792483
Dist_Cluster_21,-0.0007346817638932857
evocf,-0.0007182731564475464
TOTALSL,-0.0006267427532582026
DGORDER,-0.0006243440471817019
fedfundschange,-0.0005594010348884959
Cluster,-0.00040386539750348894
WGS3MOchange,-0.00036134253336741475
UNDCONTSA,-0.0003249010931092422
fedfunds,-0.00030651835950258334
Dist_Cluster_16,-0.0003042670255982927
INDPRO,-0.00022596753404572346
DGORDERchange,-0.0001709056585280422
HOUSTchange,-0.00016866864681535086
evfcf,-0.00016170743711581005
BUSINV,-0.0001543157913712734
Dist_Cluster_14,-0.00013139928044403337
m2supplychange,-0.00010738535779658553
Dist_Cluster_23,-0.0001005945751798909
Dist_Cluster_2,-1.610020232022391e-05
SPCS20RSA,0.0
DEXUSEU,0.0
ptb,0.0
BOGMBASEchange,0.0
WGS3MO,5.258837536503691e-06
Insiders,8.57698693500053e-05
Dist_Cluster_19,9.365352902401813e-05
Dist_Cluster_22,0.00011423766368042764
BUSLOANS,0.0001796682841977648
m2supply,0.0002613675473885246
Dist_Cluster_6,0.0002669756803580947
Dist_Cluster_8,0.0002895458324081446
Dist_Cluster_10,0.00035664700951230086
PSAVERTchange,0.0003711083326189635
BOGMBASE,0.0003832945509290142
assetgrowth,0.0005038156817342654
pb,0.0005041875087590242
Dist_Cluster_3,0.0005256666050272862
currentratio,0.0005260780065024839
ebitgrowth,0.0005501473886549757
Dist_Cluster_18,0.0005652404861186233
interestcoverage,0.0007230003969207699
debtgrowth,0.0008085787265280752
sbcsales,0.0008381185666006319
capexocf,0.0008461406155868878
3ysalesgrowth,0.0011734318894801698
WBAAchange,0.0013326528842092066
capexsales,0.0014866210086042163
1ychangepe,0.0019409259462343064
debttoequity,0.0021508559606931875
Dist_Cluster_9,0.002382757861253593
TCUchange,0.0023988876253447588
1ybeforepricechange,0.0026504145275675793
3yocfgrowth,0.0028538736376358953
 pe ,0.0036951131158652006
roic,0.003705131848708887
netdebtebitda,0.004080604459821479
DEXCHUS,0.0073293165527796526
Price,0.011253803187105994
WGS10YRchange,0.060644511325292895
