feature,mean_importance
3yocfgrowth,-0.018612135850163525
 pe ,-0.015769234684112298
HOUST,-0.004079427449432715
Own Change,-0.002502880977456501
evfcf,-0.002219111439474908
DEXUSEUchange,-0.001809594564379602
m2supplychange,-0.0017848722964548757
pfcf,-0.0016949784663972012
WBAAchange,-0.0016476228183488705
fedfunds,-0.0012550926134557439
WGS3MO,-0.001079443431267879
ebitgrowth,-0.0007754350866592374
TOTALSLchange,-0.0006487128661636255
interestcoverage,-0.00039407843174170675
BOGMBASE,-0.0001521257382563812
netdebtebitda,-0.00011843379029461421
debtgrowth,-6.572670910192091e-05
BOGMBASEchange,-1.9061671058617778e-05
capexsales,-4.38359514258746e-06
sbcsales,-2.658788613718599e-08
roic,7.49685546386214e-07
ps,7.559627852038453e-07
evs,2.0432575142281808e-06
evebitda,1.4128722057105136e-05
roe,6.025602678471076e-05
pocf,7.432848116860624e-05
1ychangepe,0.00024199969584876024
3yequitygrowth,0.0004150253471517207
ptb,0.0007130253739097037
BUSLOANS,0.0008589621416709936
capexocf,0.0008978080731289806
debttoequity,0.0011808165664509817
DEXUSEU,0.0012422059499589745
fcfgrowth,0.0013642506974065327
BUSLOANSchange,0.001656186519487557
evocf,0.001693467542582572
inventorygrowth,0.0017441440705487476
DGORDERchange,0.0020678093114254057
UNDCONTSA,0.0026186301573905223
assetgrowth,0.002660374081106165
SPCS20RSAchange,0.0026842965555936237
INDPRO,0.0031783220184865347
UNDCONTSAchange,0.0032062123481748973
salesgrowth,0.003433102355835216
fedfundschange,0.003965479268875893
pb,0.003965548102601723
DEXCHUSchange,0.003981731854430515
BUSINV,0.004001109094808664
DGORDER,0.004100181758398602
SPCS20RSA,0.004176070646391717
debttoassets,0.0042558188073091195
3ysalesgrowth,0.004351348486879192
TOTALSL,0.004442745049837471
PSAVERT,0.004590521255896795
TCU,0.00513239238517571
PSAVERTchange,0.005418156153464348
m2supply,0.005911780993461446
TCUchange,0.005936038027087742
INDPROchange,0.006435196823570577
unrate,0.006660385822417014
Insiders,0.007748267332425474
WBAA,0.007993761119074428
BUSINVchange,0.009152787606697022
WGS3MOchange,0.01047666105060142
1ybeforepricechange,0.011057444251431358
Value Traded,0.013347343012640478
DEXCHUS,0.014536122687463248
WGS10YRchange,0.014747734650736432
WGS10YR,0.014908534256601002
HOUSTchange,0.019621573789249846
currentratio,0.022378215098265763
Price,0.04371811624327315
