feature,mean_importance
debttoassets,-0.0010338535134714832
salesgrowth,-0.0007462986618326673
netdebtebitda,-0.0005705152018826931
roe,-0.0005421250149658108
UNDCONTSAchange,-0.0004967984073614873
pfcf,-0.00042007010111477783
evfcf,-0.00041601732385060375
Value Traded,-0.00038002347569966456
evocf,-0.00027278270465206365
capexocf,-0.00019447991137196973
fcfgrowth,-0.00016796356505017763
pocf,-0.00016135586271864844
sbcsales,-0.00014654160349395485
evebitda,-0.00013671014422087513
INDPRO,-0.00010446768270856443
inventorygrowth,-6.993838840635425e-05
fedfundschange,-6.821870876615455e-05
DGORDERchange,-5.30521359654812e-05
Own Change,-4.8665725857566235e-05
DEXUSEUchange,-4.733351239288863e-05
TOTALSL,-4.474379070487089e-05
TOTALSLchange,-4.109827896174867e-05
BOGMBASEchange,-4.003410294390885e-05
DEXUSEU,-3.7446479952407685e-05
Insiders,-2.8766148894565634e-05
SPCS20RSAchange,-2.873897589057428e-05
assetgrowth,-2.8460466489066415e-05
fedfunds,-2.3924089639915103e-05
BOGMBASE,-1.3256281715556817e-05
HOUSTchange,-1.2570318143367843e-05
unrate,-4.4408920985006264e-17
BUSLOANSchange,-4.4408920985006264e-17
debtgrowth,3.9209562663788946e-06
pb,2.8017235452371114e-05
BUSINV,4.052396148072068e-05
debttoequity,4.2223944843033936e-05
interestcoverage,4.893361326967494e-05
WGS3MO,5.336264708104555e-05
m2supplychange,0.00010854493640924945
HOUST,0.00011333806696298688
3yequitygrowth,0.00011797155160320205
ptb,0.00013007516935547024
WGS3MOchange,0.000150753421370986
BUSINVchange,0.00015325162605499542
PSAVERT,0.00016850648677670942
WBAA,0.00023151352545806026
BUSLOANS,0.00030022846707024043
UNDCONTSA,0.0003301416821068104
ebitgrowth,0.0003779077581897994
3ysalesgrowth,0.0003859781437369425
PSAVERTchange,0.00039971927478560376
1ychangepe,0.0005164814624393887
m2supply,0.0005484398546773628
3yocfgrowth,0.000604241716557885
SPCS20RSA,0.0006164890117576372
currentratio,0.0006395751832589669
WBAAchange,0.0010655899823998505
evs,0.0011058359215541768
INDPROchange,0.0014051296744890251
capexsales,0.0014503922638762102
roic,0.0015161243007022595
DEXCHUSchange,0.0015548131333703251
 pe ,0.0018738105994228426
DGORDER,0.0026024884947352445
ps,0.00323746927635028
1ybeforepricechange,0.0046713169115521255
Price,0.006729307961513475
DEXCHUS,0.007597453229999851
TCUchange,0.009305313164887651
TCU,0.014375864399790028
WGS10YR,0.016036699652915265
WGS10YRchange,0.08122375991128013
