feature,shap_importance
WGS10YRchange_ratio_TOTALSLchange,0.03744021520806306
TCU_ratio_DEXCHUS,0.033005681818882214
SPCS20RSA_ratio_BUSLOANS,0.03137872236841222
WGS10YRchange,0.026535406258655792
DEXCHUS_ratio_TCU,0.02583964161160261
BUSLOANS_ratio_SPCS20RSA,0.02529833263032175
unrate_diff_WGS10YRchange,0.014584638807019393
1ybeforepricechange,0.012431911422826675
Price,0.01221992381472129
TCU,0.01087913862872319
WGS10YRchange_diff_BUSLOANSchange,0.010262185878905811
ebitgrowth,0.00704310479337407
HOUST,0.006451878152558224
1ychangepe,0.005907818954018057
salesgrowth,0.005350351952283716
WGS10YR,0.005146851454976698
ps,0.004477864690143857
WGS10YR_diff_TOTALSL,0.003467983634247919
DGORDER,0.0029257112008676646
capexsales,0.0026712032839334393
netdebtebitda,0.0026351037584260023
evs,0.002587934616969384
 pe ,0.0022977845298041625
3yocfgrowth,0.00225423710841588
DEXCHUS,0.002080966534996814
roic,0.0020322561514268677
roe,0.002024751069403929
evebitda,0.0018592361799243944
HOUST_multiply_TCUchange,0.00184501422223372
inventorygrowth,0.0017303282025197015
INDPROchange,0.001691246854938498
TCUchange,0.001661844544204316
Insiders,0.0016282932459374987
DEXUSEUchange,0.001478094051238451
DEXCHUSchange,0.001472921466756364
debttoequity,0.0014216722505407502
pfcf,0.001348227439112018
assetgrowth,0.0013042583069861108
PSAVERTchange,0.0012514829006281209
debttoassets,0.0012134060852006558
SPCS20RSA,0.0011985280658403212
Value Traded,0.0010809560793455346
UNDCONTSA,0.0009834745475894022
sbcsales,0.0009699097204011985
BUSINV,0.000939809069008659
WBAA,0.0009312257246794643
WGS3MOchange,0.0009166770059641254
capexocf,0.0009071749644671228
fcfgrowth,0.0008478339555932565
debtgrowth,0.0008312729577214286
WGS3MO,0.0007901972254608827
PSAVERT,0.0007671558394091859
pocf,0.0007586789061374585
BUSLOANSchange,0.0007168362971778828
evocf,0.0007164605590031912
3ysalesgrowth,0.0007070661857713925
DEXUSEU_multiply_m2supply,0.0006612726235240894
currentratio,0.0006544254550747756
TOTALSLchange,0.0006062704598102796
interestcoverage,0.0006046119247348528
DGORDERchange,0.0006031755971996046
m2supply,0.000599637161916832
fedfundschange,0.0004748438024184005
3yequitygrowth,0.00045893532546090546
DEXUSEU,0.0004557711949722906
ptb,0.0004464178086384189
BUSLOANS,0.0004411666516064789
evfcf,0.0003606125437866632
fedfunds,0.0003482525479474509
HOUSTchange,0.00033546292431732366
WBAAchange,0.00032899640301406425
pb,0.0003078622880129999
UNDCONTSAchange,0.0002692836962252194
Own Change,0.0002644647971408233
SPCS20RSAchange,0.00022803371308326796
BOGMBASEchange,0.00019938383567873866
m2supplychange,0.00018224423292777846
TOTALSL,0.0001463351668454456
BOGMBASE,0.0
INDPRO,0.0
BUSINVchange,0.0
unrate,0.0
