feature,mean_importance
salesgrowth,-0.0011528185717055717
pfcf,-0.0010020646683330026
Dist_Cluster_8,-0.0008065818774601108
netdebtebitda,-0.0007372845389485017
capexocf,-0.0003957576597958479
debtgrowth,-0.00036115176249875704
roe,-0.0003128794269713131
evocf,-0.00029443796176021887
debttoassets,-0.0002787697915453413
Dist_Cluster_1,-0.000249469717088735
evfcf,-0.00021959578836909798
Dist_Cluster_5,-0.00020576036732879998
Value Traded,-0.00020072945075776393
fcfgrowth,-0.00019587372486004062
UNDCONTSAchange,-0.00016773212100849034
BUSLOANSchange,-0.0001642110093637239
3yocfgrowth,-0.0001479418073755956
Dist_Cluster_12,-0.00010269130713937979
pb,-8.927507731755213e-05
unrate,-8.587110407902721e-05
3yequitygrowth,-7.66568545968127e-05
ptb,-4.495198297896907e-05
Own Change,-4.010161800532819e-05
TOTALSL,-3.950652432678225e-05
HOUST,-3.334505305722102e-05
WGS3MO,-2.2970420461287944e-05
Dist_Cluster_11,-6.187103118426851e-06
Dist_Cluster_17,-3.0163083819534364e-07
Dist_Cluster_15,-2.2204460492503132e-17
m2supplychange,-1.1102230246251566e-17
INDPRO,-1.1102230246251566e-17
Dist_Cluster_4,0.0
DEXUSEU,0.0
Cluster,1.1102230246251566e-17
Dist_Cluster_22,1.1102230246251566e-17
PSAVERT,2.2204460492503132e-17
fedfunds,3.3306690738754695e-17
BUSINVchange,3.3306690738754695e-17
Dist_Cluster_2,6.271346711939074e-08
inventorygrowth,3.632887432658549e-06
HOUSTchange,3.962205506268246e-05
BOGMBASEchange,4.4050161559139324e-05
sbcsales,4.4106597273474434e-05
Dist_Cluster_14,5.411323787732902e-05
evebitda,5.546378999514712e-05
interestcoverage,5.607722900174972e-05
Dist_Cluster_23,6.592811580743429e-05
WBAA,6.701617606184041e-05
Dist_Cluster_19,6.978934300332363e-05
assetgrowth,7.939052724932338e-05
fedfundschange,8.280940094358424e-05
WGS3MOchange,0.00012113314386172914
WBAAchange,0.000123238836052475
DGORDERchange,0.00012439265124655207
Dist_Cluster_16,0.0001256662776273343
BOGMBASE,0.00014774882905647103
TOTALSLchange,0.0001560206195144964
BUSLOANS,0.00016992909126340995
pocf,0.00021285739962871862
Dist_Cluster_21,0.000258589224941963
BUSINV,0.0002649543165501145
DEXCHUSchange,0.00033341373207950163
Dist_Cluster_7,0.0003339354598267064
m2supply,0.0003429344352842145
debttoequity,0.0003774790570038822
Dist_Cluster_10,0.00043144889517663374
SPCS20RSA,0.00043867914844154533
SPCS20RSAchange,0.0004426741349882968
Dist_Cluster_9,0.0005873261245358142
ebitgrowth,0.0006080364762009793
Dist_Cluster_0,0.0006141772183465676
Dist_Cluster_20,0.0006391520373992155
DEXUSEUchange,0.000681441214217804
1ychangepe,0.0007057163730708304
Dist_Cluster_3,0.0007471775812693537
PSAVERTchange,0.0007851263543041664
currentratio,0.0008344274755526793
3ysalesgrowth,0.0008586145473000739
UNDCONTSA,0.0009030621125929117
Insiders,0.0009096033492939859
Dist_Cluster_13,0.001180023145589204
evs,0.0013173735262894005
capexsales,0.0016516504236043339
roic,0.0017041741389311916
DGORDER,0.0017943143795312478
ps,0.0019431942011491788
 pe ,0.0020063516203285836
INDPROchange,0.0023401031275936514
Dist_Cluster_18,0.00377223221151165
Price,0.0048460132140200505
Dist_Cluster_6,0.005206334250726441
1ybeforepricechange,0.006843968326924832
TCU,0.00900827277487165
DEXCHUS,0.009595832907596923
TCUchange,0.012120023868340168
WGS10YR,0.013310373071858606
WGS10YRchange,0.061507699332070155
