feature,shap_importance
WGS10YRchange,0.0901799487447541
WGS10YR,0.03061386196196784
TCU,0.023366209344405454
TCUchange,0.022264804856057186
DEXCHUS,0.01834045302233629
Dist_Cluster_6,0.017740320038874175
1ybeforepricechange,0.014599687927458983
Price,0.010249529800569715
Dist_Cluster_18,0.009934043709493842
HOUST,0.007616134115517128
salesgrowth,0.005403958568534714
INDPROchange,0.005283693441606829
1ychangepe,0.004731251230530873
Dist_Cluster_13,0.0035612899977519176
evs,0.003485466185642452
ebitgrowth,0.003155395905721806
ps,0.0031347938488941835
 pe ,0.0030718795393314836
Dist_Cluster_5,0.0028243977063631895
DGORDER,0.0027439224370394994
3yocfgrowth,0.002564061872512594
UNDCONTSA,0.0025194668299779576
Dist_Cluster_21,0.0022760516576660803
inventorygrowth,0.0022719311420736
roic,0.0020698557001566985
roe,0.0019505646851293208
DEXUSEUchange,0.001857694001280496
Dist_Cluster_3,0.0018258607454735133
Dist_Cluster_20,0.0018014561311157854
Dist_Cluster_16,0.0017600417591061995
capexsales,0.001738821231702164
Dist_Cluster_8,0.0017131283798807674
netdebtebitda,0.001667374141341023
debtgrowth,0.0013421018517742337
currentratio,0.0013318353641337591
UNDCONTSAchange,0.001188232972121909
fcfgrowth,0.0010686329144171088
debttoassets,0.0010501277579322238
debttoequity,0.0010420325051044453
Dist_Cluster_9,0.0010358871474289795
pfcf,0.0010353836570781336
assetgrowth,0.001024095177513985
DEXCHUSchange,0.001023668240818221
SPCS20RSAchange,0.001005298491000995
capexocf,0.0010046520537641001
DGORDERchange,0.0009955297286316036
BUSINV,0.0009916024569433547
Dist_Cluster_19,0.0009715406346950494
Dist_Cluster_12,0.0009684088643463825
Insiders,0.0009439775238763786
TOTALSLchange,0.0009183097817178492
PSAVERTchange,0.0008933492389798745
SPCS20RSA,0.0008446892931993153
BOGMBASE,0.0008077164287933093
3ysalesgrowth,0.0007726809120475245
evebitda,0.0007675627871396175
WGS3MOchange,0.0007584863379396186
WGS3MO,0.0007250864978882904
evocf,0.0007034508557904413
pocf,0.0006358014630167387
Dist_Cluster_0,0.0006133281786089459
Dist_Cluster_10,0.0006086567560949064
evfcf,0.0006034284089702003
Dist_Cluster_14,0.0005368723808526052
Value Traded,0.0005364840698835595
TOTALSL,0.0005119557982976567
ptb,0.00048738628431216834
interestcoverage,0.0004394914987063356
Dist_Cluster_7,0.00043622755308822753
sbcsales,0.00042547424907067317
WBAA,0.0004227103295335977
fedfundschange,0.00037863549854828864
Dist_Cluster_17,0.0003663205038157647
WBAAchange,0.00029310529308562954
Dist_Cluster_1,0.00028514173525883124
3yequitygrowth,0.00026178814494417536
m2supply,0.0002599280164814327
pb,0.0002136230251706552
HOUSTchange,0.0002132001455298955
Dist_Cluster_23,0.00018941242353401891
BUSLOANSchange,0.00017694821032417554
BOGMBASEchange,0.00013477954879039138
Dist_Cluster_11,0.00011486238127161671
BUSLOANS,0.00011042179377697496
unrate,9.778377723539038e-05
Dist_Cluster_2,7.041730737978894e-05
Own Change,5.547962602590551e-05
Dist_Cluster_4,0.0
Dist_Cluster_15,0.0
PSAVERT,0.0
BUSINVchange,0.0
INDPRO,0.0
DEXUSEU,0.0
fedfunds,0.0
Dist_Cluster_22,0.0
m2supplychange,0.0
Cluster,0.0
