feature,mean_importance
random_feature,-0.0015018374728604234
debttoassets,-0.0014836388260273225
pfcf,-0.0008467251414196686
capexocf,-0.0007144151587386904
salesgrowth,-0.0005350569202511978
roe,-0.00048586180586565055
Dist_Cluster_12,-0.00046340740597011765
evocf,-0.0003839602410694698
netdebtebitda,-0.0003642595760504852
pocf,-0.00030619747830336054
Dist_Cluster_19,-0.00027387204313621404
ptb,-0.00023410515471758986
DGORDERchange,-0.00020673451513361085
fcfgrowth,-0.00020119710070184426
evfcf,-0.00019870750918004053
Dist_Cluster_1,-0.00018428184680838733
Dist_Cluster_16,-0.00013187174384491352
TOTALSLchange,-0.00012917763157932471
UNDCONTSAchange,-0.00011058571022222185
Value Traded,-0.00010065952544281442
WBAAchange,-8.857691951461578e-05
Dist_Cluster_4,-7.091370376183237e-05
BOGMBASE,-6.186997669078708e-05
debtgrowth,-5.2342823207618407e-05
WGS3MO,-5.0798152819242494e-05
DEXCHUSchange,-3.618995207430586e-05
Own Change,-2.2258650293494054e-05
TOTALSL,-2.1331409394076405e-05
sbcsales,-4.97383003071894e-06
BUSLOANSchange,-4.222009266285909e-06
DEXUSEU,0.0
Dist_Cluster_2,0.0
Dist_Cluster_11,0.0
fedfundschange,0.0
Cluster,0.0
fedfunds,0.0
unrate,0.0
m2supplychange,0.0
SPCS20RSAchange,0.0
INDPRO,0.0
m2supply,0.0
Dist_Cluster_15,0.0
BUSINVchange,0.0
PSAVERT,0.0
3yequitygrowth,1.2581301320901961e-05
interestcoverage,3.144063253998075e-05
Dist_Cluster_7,3.195965594536832e-05
Dist_Cluster_23,3.7617069997841754e-05
Dist_Cluster_5,9.792877146775902e-05
Dist_Cluster_14,0.0001015960935750071
HOUST,0.00010558916470069236
Dist_Cluster_9,0.0001255819924843693
pb,0.0001314895207249811
INDPROchange,0.00014179969296275187
WGS3MOchange,0.00014801965964458263
SPCS20RSA,0.0001754938419139762
Dist_Cluster_22,0.00018467531768251444
BOGMBASEchange,0.00020758563790899132
BUSINV,0.00024452324547881156
Dist_Cluster_10,0.00025793443279050756
1ychangepe,0.00025829910614497684
inventorygrowth,0.0002590966666581318
debttoequity,0.00028515859741261583
Dist_Cluster_8,0.0002918326871881094
Dist_Cluster_0,0.0003186042785728982
HOUSTchange,0.0003313416047170836
WBAA,0.000364611846892704
DEXUSEUchange,0.00037362756698293697
UNDCONTSA,0.00037835294559976915
3yocfgrowth,0.00048789629374105246
Dist_Cluster_17,0.0005058019194035923
evebitda,0.000506278823255979
capexsales,0.0005275030610338516
Insiders,0.0005303018426109585
Dist_Cluster_20,0.0005444008182048266
BUSLOANS,0.0006625200078331339
assetgrowth,0.000742145893671231
ebitgrowth,0.0007739279013704748
3ysalesgrowth,0.0007790513617047634
DGORDER,0.0008693027615098048
currentratio,0.0009003063043826031
evs,0.0009466203002960416
PSAVERTchange,0.0010514018720412688
Dist_Cluster_13,0.0012899874021664037
roic,0.001604477975526264
 pe ,0.0018019522435842373
ps,0.002223685334965875
Dist_Cluster_21,0.002407544042423604
Dist_Cluster_3,0.00264322458696441
Dist_Cluster_18,0.0037204842200743047
Dist_Cluster_6,0.004361591998853864
1ybeforepricechange,0.005023546036124959
Price,0.00536306745933397
TCUchange,0.007888554882137088
TCU,0.007933689681703104
WGS10YR,0.008107625196424616
DEXCHUS,0.008314794414455706
WGS10YRchange,0.08413724447123368
