feature,mean_importance
Dist_Cluster_8,-0.00045684881102976417
HOUST,-0.00040492810389723964
HOUSTchange,-0.00020252289657438639
Dist_Cluster_10,-0.00016578859347199382
3yequitygrowth,-6.230999637687473e-05
Dist_Cluster_23,-5.973535312062683e-05
DEXUSEUchange,-3.274273993451038e-05
Dist_Cluster_22,1.569346139583816e-05
pb,3.327599392078939e-05
BOGMBASEchange,3.628088405794871e-05
debttoequity,5.011504450815885e-05
Dist_Cluster_9,5.1288340096544704e-05
Dist_Cluster_20,0.00026048604280337617
BUSINV,0.0002811159337199554
Dist_Cluster_5,0.00031877051875093263
PSAVERTchange,0.00034183212333260826
interestcoverage,0.0003536848099384704
Dist_Cluster_17,0.00040265810199563434
Dist_Cluster_0,0.0004133071540875943
BUSLOANS,0.0004335514729804202
Dist_Cluster_14,0.0004566159588866747
currentratio,0.00048500192343736703
UNDCONTSA,0.0005384350258567982
3yocfgrowth,0.0005596764340441651
WGS3MOchange,0.0005758242050256657
3ysalesgrowth,0.0006672374968754946
inventorygrowth,0.0007295749858979295
SPCS20RSA,0.0007387939693519474
evebitda,0.0007523437639491148
WBAA,0.0009002445927346004
Dist_Cluster_7,0.0009497273029491881
ebitgrowth,0.0011344424636105966
roic,0.0011380225871658878
1ychangepe,0.001164642149740025
Insiders,0.0012929190148162962
assetgrowth,0.0013060631697487946
DGORDER,0.0014272285399336893
ps,0.0015084884447652436
evs,0.001806870144912398
 pe ,0.001819053517096214
INDPROchange,0.0018705016484402593
capexsales,0.0019754699780833774
Dist_Cluster_21,0.0019977900129810934
Dist_Cluster_13,0.0026135814732708316
Dist_Cluster_18,0.002943757000668401
Price,0.004086578214080006
Dist_Cluster_6,0.004898944073645717
Dist_Cluster_3,0.005336540561844849
TCU,0.005520293999012349
1ybeforepricechange,0.00736688082578838
DEXCHUS,0.00862190847472103
TCUchange,0.012226182717360267
WGS10YR,0.02433528270852884
WGS10YRchange,0.05151645511475554
