feature,shap_importance
WGS10YRchange,0.08389534593974736
WGS10YR,0.04458861337796138
TCU,0.019268109862623232
TCUchange,0.01896551330509795
DEXCHUS,0.01729173667056648
1ybeforepricechange,0.017073386360710676
Dist_Cluster_6,0.014174869821400411
Price,0.01295160044377132
HOUST,0.00910585193116031
Dist_Cluster_18,0.007953549660933089
Dist_Cluster_21,0.00681715067988526
ebitgrowth,0.006088993724458744
Dist_Cluster_13,0.0057320883066638365
1ychangepe,0.0055001745105877405
Dist_Cluster_3,0.005037206738449021
ps,0.004203835200818003
3yocfgrowth,0.00390868809309566
 pe ,0.003880008449005603
Dist_Cluster_5,0.0034109640290086525
evs,0.002687337793287752
debttoequity,0.002500921053096733
UNDCONTSA,0.002490949617588968
capexsales,0.0024539862989088374
roic,0.0023605401866039735
inventorygrowth,0.0022496338962907036
assetgrowth,0.0021504114646362497
3ysalesgrowth,0.002028772334237767
Insiders,0.0019899696071488835
INDPROchange,0.0019679768119862597
Dist_Cluster_8,0.001954891154478293
DGORDER,0.001949507006502125
Dist_Cluster_7,0.001855865438141764
BUSINV,0.001566260012574503
Dist_Cluster_9,0.0015540014013089311
WGS3MOchange,0.001436467566411985
BUSLOANS,0.0014119575696524174
WBAA,0.0014032603101063552
interestcoverage,0.0011318144560333646
Dist_Cluster_20,0.0011306374154480777
SPCS20RSA,0.0011117881690523167
DEXUSEUchange,0.0011017054658879672
Dist_Cluster_17,0.0009720909621832672
PSAVERTchange,0.0009710124915978186
evebitda,0.0008253743911434717
pb,0.0007581425021492389
Dist_Cluster_22,0.0007489386362713773
currentratio,0.0007374213646643338
Dist_Cluster_0,0.0007069979744579548
Dist_Cluster_14,0.0005911242286753704
Dist_Cluster_23,0.0005166926451352918
Dist_Cluster_10,0.00046690306250617684
HOUSTchange,0.0004227452339103342
BOGMBASEchange,0.000238123117261843
3yequitygrowth,0.00014611575542253555
