feature,mean_importance
evebitda,-0.0030851905138306714
inventorygrowth,-0.002362223633489724
DGORDER,-0.0018472860244213684
BUSLOANS,-0.0009937379424877712
DGORDERchange,-0.0009833623727144025
sbcsales,-0.0009240798002284056
PSAVERT,-0.0004749294034555707
evfcf,-0.00043039884487287015
ps,-0.0001765260752439657
capexocf,-9.63511097862857e-05
pfcf,-9.369965305019434e-05
Own Change,-6.934196906855927e-05
3yocfgrowth,-4.7381899809550986e-05
roe,-3.909863856380591e-05
debttoequity,-2.7093409534573178e-05
3yequitygrowth,-1.6702197741602644e-05
debtgrowth,5.225877838077597e-06
1ychangepe,1.0079278455488173e-05
ebitgrowth,1.0557452480763896e-05
roic,1.9676601824736296e-05
ptb,4.814160992511196e-05
pb,4.814160992511196e-05
3ysalesgrowth,5.554912456664507e-05
Insiders,8.111575849528707e-05
PSAVERTchange,0.0001890186875461608
Value Traded,0.0003141858649152285
TCUchange,0.0004393866607391939
pocf,0.0004850798131199374
interestcoverage,0.000741244034743993
salesgrowth,0.00075741315001141
capexsales,0.0008067249483279415
WGS3MOchange,0.0008473360073615321
BUSINV,0.001009217647493632
m2supply,0.001053491521012273
UNDCONTSA,0.0011293501504152982
SPCS20RSAchange,0.0014023701028188951
BUSLOANSchange,0.0017690821622352248
DEXCHUSchange,0.0017796693753409309
netdebtebitda,0.0017938545150954833
fcfgrowth,0.0024063524784090793
fedfunds,0.002948320185013331
BOGMBASE,0.003927568989515273
INDPROchange,0.004068948227198721
 pe ,0.004136981015800689
evs,0.004562770535223892
WGS3MO,0.004686649952686505
INDPRO,0.004704244468562757
TOTALSLchange,0.005090599959645348
WGS10YRchange,0.005270362496534331
TCU,0.007690581946572994
TOTALSL,0.008902336564970826
fedfundschange,0.009034047181724536
SPCS20RSA,0.01046464289743736
1ybeforepricechange,0.011224678213838013
HOUST,0.014477169544318703
debttoassets,0.014773606964309105
currentratio,0.016836659273392375
HOUSTchange,0.018750142382092085
Price,0.01977184846020593
DEXUSEU,0.027785304332685203
DEXCHUS,0.03336564410760502
DEXUSEUchange,0.03489361240403275
assetgrowth,0.03568402463668534
evocf,0.0438338509957469
WBAAchange,0.04821209468366737
WBAA,0.05108624379883854
UNDCONTSAchange,0.05151256403021311
unrate,0.05227128187375383
BOGMBASEchange,0.05796038029468925
m2supplychange,0.06360597978875145
WGS10YR,0.0859583007043333
BUSINVchange,0.11419566277270551
