feature,shap_importance
sbcsales,108.19089801138864
currentratio,24.844735254679584
BUSINVchange,0.8713523608553936
UNDCONTSAchange,0.784292097270876
WGS10YR,0.7818491533152002
WBAAchange,0.7375181572884656
unrate,0.7027324087211412
WBAA,0.6874779405262443
BOGMBASEchange,0.6793317577455157
m2supplychange,0.5618480147173377
DEXUSEU,0.4861063323174728
DEXCHUS,0.41559914602565057
DEXUSEUchange,0.40126528635508607
capexsales,0.38947320964472565
TCU,0.2664087765991812
TOTALSLchange,0.2427504738880573
WGS10YRchange,0.24114951781067784
1ybeforepricechange,0.21763051446278137
BUSLOANS,0.21347998499750287
HOUSTchange,0.21171852274267108
INDPRO,0.1817545429119826
PSAVERTchange,0.1800315517591961
SPCS20RSA,0.17685079350555616
TOTALSL,0.15280686959122355
INDPROchange,0.15047240159383185
fedfundschange,0.14777516336338423
fcfgrowth,0.14114752895144714
PSAVERT,0.13471445904776527
pocf,0.1222965755267975
Price,0.11199249513115331
evocf,0.10952284681808262
DGORDERchange,0.10888417316951798
WGS3MO,0.08473362191082229
BUSLOANSchange,0.07946316584424039
DGORDER,0.07598006768563353
BOGMBASE,0.07298797266211247
assetgrowth,0.06683031983531104
BUSINV,0.06476349482681039
debttoassets,0.05712554155076096
fedfunds,0.05285346447564443
capexocf,0.05131335778296961
DEXCHUSchange,0.050495061990923955
 pe ,0.03925881296068743
SPCS20RSAchange,0.03824858685936286
HOUST,0.0376901136936507
inventorygrowth,0.03654426571880711
TCUchange,0.0352629810350135
Own Change,0.03500611555866152
UNDCONTSA,0.028607504706742625
WGS3MOchange,0.02804145491457774
m2supply,0.02662791063956521
netdebtebitda,0.019973096118358843
evs,0.011354568810035846
evebitda,0.010640960086456853
Value Traded,0.00962302428826665
salesgrowth,0.007164793603879975
Insiders,0.005245803886352519
pb,0.003918786018921939
ptb,0.003918786018921939
ps,0.003185154200844608
3yocfgrowth,0.00284306846856535
evfcf,0.002570210506250731
interestcoverage,0.002498686213971375
3ysalesgrowth,0.001187811795592959
debttoequity,0.0009904174974015854
ebitgrowth,0.0006382087084907145
debtgrowth,0.0005360967230473971
pfcf,0.0004322488437823041
1ychangepe,0.00037680616538199655
roe,0.00037608315769878614
roic,0.0001599430287651387
3yequitygrowth,8.847838530047406e-05
