feature,mean_importance
salesgrowth,-0.003557241896745722
netdebtebitda,-0.0033702691020322416
currentratio,-0.003292224720014858
roe,-0.0021757961275093
debttoassets,-0.002133203928081295
pfcf,-0.0019498569820024514
evs,-0.0019175914829050677
3yocfgrowth,-0.0017830304214868531
debttoequity,-0.00147960507885464
BUSLOANS,-0.0013989700229985913
WBAAchange,-0.0013470884885252166
inventorygrowth,-0.0012567081610465158
Insiders,-0.0011177304070668192
WGS3MOchange,-0.0008135590912591196
evfcf,-0.0006374924964683171
unrate,-0.00044985257575632656
fcfgrowth,-0.0004019314629823967
pb,-0.00031510708184373515
DEXUSEU,-0.00029562678498598063
fedfunds,-0.0002926912626670886
1ychangepe,-0.0002724223156231109
sbcsales,-0.00025280763616480906
UNDCONTSAchange,-0.0001262466558103914
m2supply,-0.00011366675664624682
TOTALSLchange,-6.944525089112031e-05
BOGMBASEchange,-4.2179145959264644e-05
PSAVERT,-4.0843017338432205e-05
TOTALSL,0.0
UNDCONTSA,0.0
SPCS20RSA,0.0
ptb,0.0
TCUchange,5.559045599469181e-05
PSAVERTchange,0.00017533218037538712
INDPRO,0.0001769203333585767
DGORDER,0.0002541689200055264
m2supplychange,0.00026613061468808705
DEXCHUSchange,0.00031431469551479463
roic,0.0003511246066270846
SPCS20RSAchange,0.0004137659229038526
INDPROchange,0.00041452076702644944
BUSINV,0.0004992420988034985
BUSINVchange,0.0005578069501401495
DEXUSEUchange,0.0005581216663081312
fedfundschange,0.0006574290644979607
WGS3MO,0.0007066752803499776
HOUSTchange,0.0008273095084863291
 pe ,0.0009123431464429621
WBAA,0.0009817363024075432
evocf,0.0009956206087574971
ps,0.0011159299510086651
BOGMBASE,0.0013343341202739722
Own Change,0.0015228559079483838
assetgrowth,0.0016723451701744717
ebitgrowth,0.002013525775845937
TCU,0.0022764891799907485
DEXCHUS,0.002349918764029757
DGORDERchange,0.002466431469918995
debtgrowth,0.002484293906449675
HOUST,0.0025165085759206287
capexsales,0.0026972320718520516
interestcoverage,0.0034440683891646894
Price,0.0034519107833092533
capexocf,0.003836579407138341
evebitda,0.00430520520516583
BUSLOANSchange,0.005578622751398232
1ybeforepricechange,0.005800447843919754
Value Traded,0.006060919825561839
3ysalesgrowth,0.008867991159570631
3yequitygrowth,0.015220682084151328
WGS10YR,0.020855863077063507
pocf,0.026464994436788104
WGS10YRchange,0.02671177832294398
