feature,shap_importance
pocf,0.59111476
3ysalesgrowth,0.33640128
3yequitygrowth,0.31209633
Value Traded,0.29912245
WGS10YR,0.2819317
interestcoverage,0.26079708
1ybeforepricechange,0.22392039
evs,0.18577199
capexocf,0.17568465
WGS10YRchange,0.17463894
roic,0.17024033
assetgrowth,0.1534441
HOUST,0.14247094
ebitgrowth,0.13453822
BOGMBASE,0.13426028
Own Change,0.13313317
evfcf,0.13227439
evebitda,0.13016659
roe,0.122628696
BUSLOANSchange,0.12166425
pb,0.11722488
pfcf,0.11635267
debtgrowth,0.10958382
1ychangepe,0.09954282
TCU,0.09603198
debttoassets,0.090575054
currentratio,0.08875842
Price,0.087537624
sbcsales,0.08006388
capexsales,0.074169785
netdebtebitda,0.07194663
ps,0.071824655
BUSLOANS,0.066094145
 pe ,0.06329942
evocf,0.06281654
DEXCHUS,0.06232825
salesgrowth,0.061652288
inventorygrowth,0.053623684
WGS3MO,0.04978029
fcfgrowth,0.047014117
Insiders,0.045329522
debttoequity,0.043452997
BUSINV,0.041349392
WBAAchange,0.038306624
3yocfgrowth,0.037890937
BUSINVchange,0.03427733
HOUSTchange,0.02862415
fedfundschange,0.027855778
DGORDERchange,0.02183251
SPCS20RSAchange,0.01601075
PSAVERT,0.013808448
WBAA,0.011765187
DEXUSEUchange,0.0117158415
INDPRO,0.010828027
DEXUSEU,0.009771788
m2supplychange,0.008410233
WGS3MOchange,0.008402128
INDPROchange,0.006938755
DGORDER,0.006627055
PSAVERTchange,0.006539345
fedfunds,0.006181145
unrate,0.0060110884
UNDCONTSAchange,0.0052077575
BOGMBASEchange,0.0049080797
TOTALSLchange,0.004480151
DEXCHUSchange,0.003813443
m2supply,0.0024465213
TCUchange,0.002370435
ptb,0.0
UNDCONTSA,0.0
TOTALSL,0.0
SPCS20RSA,0.0
