feature,mean_importance
netdebtebitda,-0.0026869471277235378
currentratio,-0.0016713325479850605
Insiders,-0.0015801924139367096
debttoequity,-0.001075019936698618
m2supply,-0.0009793177637415496
debttoassets,-0.0007374331144146762
1ychangepe,-0.0007004819317365518
UNDCONTSAchange,-0.0005365799182220132
WGS10YR,-0.00023135466731343256
pfcf,-0.00016587916234326317
HOUST,-0.0001546570067687547
SPCS20RSAchange,-0.00014434801470877278
HOUSTchange,-0.00013091665052770152
BUSLOANS,-0.00010771777439803066
INDPRO,-0.00010282633093589011
salesgrowth,-9.517998724577481e-05
TCU,-5.3439620033490785e-05
sbcsales,-4.795528625979317e-05
WBAAchange,-3.34369267451784e-05
BOGMBASE,-1.0385764036779933e-06
TOTALSLchange,0.0
TOTALSL,0.0
UNDCONTSA,0.0
WBAA_ratio_WGS10YR,0.0
DGORDER,0.0
BUSINVchange,0.0
UNDCONTSA_multiply_WGS10YR,0.0
TCUchange_ratio_WBAA,0.0
DEXUSEUchange,0.0
SPCS20RSA,0.0
ptb,0.0
TCUchange,0.0
BUSINV,0.0
fedfunds,4.2077092021264304e-05
inventorygrowth,4.9809906683118135e-05
PSAVERT,5.4914397189065325e-05
DEXUSEU,6.670543450493227e-05
WGS3MO,0.00013214402685647332
BOGMBASEchange,0.00014532144164334238
WGS3MOchange,0.00015220149822362528
assetgrowth,0.00025321490206445805
WGS10YR_ratio_WBAA,0.00027621419359751264
debtgrowth,0.00030663581031113994
DEXCHUS,0.0003757601621191209
INDPROchange,0.0003851434287386768
DGORDERchange,0.0004499668919620281
capexocf,0.000454789188853022
DEXCHUSchange,0.0004967588638417397
unrate,0.0005346659777065276
fcfgrowth,0.0005631750956949788
ps,0.0005653909032333315
fedfundschange,0.0006179704724292523
BUSLOANSchange,0.0007046779206000053
WGS3MOchange_diff_WGS10YRchange,0.0007589984821083195
capexsales,0.0007616209585529221
Own Change,0.000764240267898586
pb,0.001018104115012386
WBAA,0.0010828240372705356
m2supplychange,0.0011984046447871654
PSAVERTchange,0.0013298840177890735
Price,0.001544201946933854
evs,0.001705939687457536
3yocfgrowth,0.002037362138544352
WGS10YRchange_ratio_BOGMBASEchange,0.002064307127824394
BOGMBASEchange_ratio_WGS10YRchange,0.002240040271034638
ebitgrowth,0.002868110730770079
roe,0.0029624428046227556
WGS10YRchange_diff_assetgrowth,0.003081273208935287
evocf,0.0031049334892924605
Value Traded,0.0034496468142286908
roic,0.00403713816425143
WGS10YRchange,0.0044932181259318416
evebitda,0.006340160845474374
3yequitygrowth,0.00650927718301556
interestcoverage,0.006555623474440131
evfcf,0.006885772088543784
 pe ,0.007680008336414768
3ysalesgrowth,0.007832040568395449
1ybeforepricechange,0.00834187155227455
 pe _multiply_TCUchange,0.012125061264239522
TCUchange_ratio_TOTALSLchange,0.030491837902959416
pocf,0.031165822458915436
