feature,shap_importance
pocf,0.5020377
TCUchange_ratio_TOTALSLchange,0.48392263
3yequitygrowth,0.23698993
Value Traded,0.20693663
3ysalesgrowth,0.1995751
interestcoverage,0.18905687
1ybeforepricechange,0.16985984
WGS10YRchange_diff_assetgrowth,0.16001694
evs,0.13944945
evebitda,0.1204825
capexocf,0.111462966
evfcf,0.11073729
roe,0.10083613
HOUST,0.085903436
assetgrowth,0.08483044
roic,0.08216354
ps,0.08096879
WGS10YRchange_ratio_BOGMBASEchange,0.07688151
 pe ,0.07593932
BOGMBASE,0.0736352
pb,0.07361737
Own Change,0.07291099
 pe _multiply_TCUchange,0.07240081
pfcf,0.066906914
capexsales,0.065791264
ebitgrowth,0.06487985
debtgrowth,0.06357234
sbcsales,0.06132792
Price,0.053506326
debttoassets,0.051894303
salesgrowth,0.044108756
1ychangepe,0.041339304
BOGMBASEchange_ratio_WGS10YRchange,0.038854852
3yocfgrowth,0.038235996
currentratio,0.036077388
WGS10YRchange,0.035767596
BUSLOANS,0.030610679
netdebtebitda,0.028912948
UNDCONTSAchange,0.027489513
fcfgrowth,0.02595645
WBAAchange,0.02441713
debttoequity,0.023145258
inventorygrowth,0.021650808
Insiders,0.020859426
DEXCHUS,0.02054837
evocf,0.019464226
fedfundschange,0.018087037
m2supplychange,0.01461639
PSAVERTchange,0.012041632
WGS3MO,0.011860957
SPCS20RSAchange,0.011279943
WGS10YR_ratio_WBAA,0.010890182
BUSINV,0.010876288
unrate,0.009940671
TCUchange,0.0098108705
UNDCONTSA_multiply_WGS10YR,0.009367051
TCU,0.008900274
INDPROchange,0.008873613
HOUSTchange,0.008721592
BUSLOANSchange,0.0071076667
WBAA,0.006785717
m2supply,0.004405056
WGS3MOchange_diff_WGS10YRchange,0.0034717636
DGORDERchange,0.003401362
INDPRO,0.0031763553
WGS10YR,0.0017861801
DEXCHUSchange,0.0014872762
PSAVERT,0.0013454745
WGS3MOchange,0.0010860845
BOGMBASEchange,0.001004028
fedfunds,0.00080931064
DEXUSEU,0.0007575382
DEXUSEUchange,0.00071133923
TCUchange_ratio_WBAA,0.0
ptb,0.0
SPCS20RSA,0.0
BUSINVchange,0.0
DGORDER,0.0
TOTALSL,0.0
TOTALSLchange,0.0
UNDCONTSA,0.0
WBAA_ratio_WGS10YR,0.0
