feature,mean_importance
currentratio,-0.0018673129444661818
Own Change,-0.0013351414479210177
random_feature,-0.000920535336504058
Insiders,-0.0008026704086309233
sbcsales,-0.0007186368676732946
debttoequity,-0.0006117456672125043
pfcf,-0.000582474438772096
WBAAchange,-0.0005805558956227808
UNDCONTSAchange,-0.0005774573865088617
debtgrowth,-0.0005740417958731258
netdebtebitda,-0.00020923648444000077
PSAVERT,-0.0001492193951199261
BUSLOANS,-0.00013034941561809176
WGS10YR,-8.763194854416456e-05
m2supply,-5.649953382929063e-05
SPCS20RSAchange,-5.165934237423286e-05
HOUSTchange,-4.4540908695978046e-05
WGS3MO,-2.1056889093673538e-05
BOGMBASE,-9.916809933274705e-06
ptb,0.0
UNDCONTSA,0.0
HOUST,0.0
TOTALSLchange,0.0
WBAA_ratio_WGS10YR,0.0
TOTALSL,0.0
DGORDER,0.0
UNDCONTSA_multiply_WGS10YR,0.0
BUSINVchange,0.0
BUSINV,0.0
TCUchange,0.0
TCU,0.0
INDPROchange,0.0
fedfunds,0.0
SPCS20RSA,0.0
TCUchange_ratio_WBAA,0.0
DEXUSEU,0.0
debttoassets,2.1554351709274223e-05
capexsales,4.9248279690539135e-05
BOGMBASEchange,5.4770000045367694e-05
INDPRO,5.892128755182746e-05
WBAA,7.590471375744645e-05
DEXCHUS,0.00012144796572877148
DEXCHUSchange,0.00017455503537230354
assetgrowth,0.0001768158982895618
WGS3MOchange,0.00019209732012843707
BOGMBASEchange_ratio_WGS10YRchange,0.0001939635443310883
fcfgrowth,0.00021895368903597224
pb,0.00023071546610374804
PSAVERTchange,0.00023542414303687754
WGS3MOchange_diff_WGS10YRchange,0.00023881267481198342
1ychangepe,0.0002530599162313907
DGORDERchange,0.0002576265437963965
inventorygrowth,0.0003461866833888161
DEXUSEUchange,0.0003678714215407441
BUSLOANSchange,0.00048646400533076674
unrate,0.0005553428855948117
fedfundschange,0.0006333518824484519
salesgrowth,0.0008013112784069576
capexocf,0.0008245533585456433
m2supplychange,0.0011355966952307894
WGS10YR_ratio_WBAA,0.0011567591830976443
evs,0.0017179555309032035
Value Traded,0.0017201077429761958
WGS10YRchange_ratio_BOGMBASEchange,0.0017259648918627525
Price,0.0019364728605493543
3yequitygrowth,0.0020753536120064254
ps,0.0022187093604187913
1ybeforepricechange,0.0024582160575855384
ebitgrowth,0.0025508808423633676
interestcoverage,0.003269798737155638
evocf,0.0033547192458702967
3yocfgrowth,0.003823321729909135
roe,0.004133961177250256
roic,0.004545200633541047
3ysalesgrowth,0.004899076237677169
WGS10YRchange_diff_assetgrowth,0.005190243200663136
WGS10YRchange,0.005589362660093811
evfcf,0.007704430157400044
evebitda,0.008374655887003524
 pe ,0.00847770995141004
 pe _multiply_TCUchange,0.012841155931919335
TCUchange_ratio_TOTALSLchange,0.014508360992673618
pocf,0.03166433536777981
