feature,mean_importance
debttoassets,-0.001412083857809543
1ychangepe,-0.0006288845237355401
pb,-0.0005944672582791188
WGS3MOchange,-0.0005688920837526257
INDPRO,-0.0002987286207015938
assetgrowth,-0.0002448445409559574
WGS3MOchange_diff_WGS10YRchange,-0.00021448905267086317
BOGMBASEchange,-7.660274765696196e-05
inventorygrowth,-5.377159091085604e-05
DEXCHUSchange,5.716720086629268e-05
DGORDERchange,0.00010418081001615232
evocf,0.00018102810023481463
DEXCHUS,0.000268966239288837
WBAA,0.00036647860121514776
DEXUSEUchange,0.00042019514470349463
BUSLOANSchange,0.0004418357085450797
WGS10YR_ratio_WBAA,0.00048535953236095164
unrate,0.0006387993880256904
3yocfgrowth,0.0007338561530981225
salesgrowth,0.0009101370659147956
fedfundschange,0.0014574303023505597
evs,0.0015617051051265763
ebitgrowth,0.0016608367803397917
fcfgrowth,0.0016938263133247865
m2supplychange,0.0019851644591036056
capexsales,0.0020728573839432383
ps,0.002260691458362163
roic,0.0023511528987874676
capexocf,0.0027211577463550187
WGS10YRchange_diff_assetgrowth,0.0027903392779057403
WGS10YRchange_ratio_BOGMBASEchange,0.0029214764078833943
 pe ,0.0031801614450065463
PSAVERTchange,0.0032588797415595396
Value Traded,0.003823459161255205
roe,0.004871057713650717
BOGMBASEchange_ratio_WGS10YRchange,0.0048997364220129905
WGS10YRchange,0.005380270617800875
Price,0.005549640590814453
3yequitygrowth,0.006772260703239485
evebitda,0.007058983062573032
evfcf,0.007501257549991281
interestcoverage,0.007503216144813196
3ysalesgrowth,0.008283226376204423
1ybeforepricechange,0.009043486984032855
 pe _multiply_TCUchange,0.0156027111527411
TCUchange_ratio_TOTALSLchange,0.031557460378800896
pocf,0.03525479028905739
