feature,shap_importance
TCUchange_ratio_TOTALSLchange,0.47158486
pocf,0.42490238
3ysalesgrowth,0.23834288
interestcoverage,0.22361605
1ybeforepricechange,0.21518128
3yequitygrowth,0.20510766
Value Traded,0.20005964
WGS10YRchange_diff_assetgrowth,0.1447168
roic,0.13921842
evfcf,0.13884214
roe,0.13673136
evebitda,0.13535598
capexocf,0.13475116
evs,0.13173194
WGS10YRchange_ratio_BOGMBASEchange,0.12928873
 pe _multiply_TCUchange,0.12250073
BOGMBASEchange_ratio_WGS10YRchange,0.09201385
ps,0.09078763
ebitgrowth,0.08929942
Price,0.08816735
1ychangepe,0.08523786
pb,0.08015791
assetgrowth,0.075630695
WGS10YR_ratio_WBAA,0.072559886
capexsales,0.07070392
3yocfgrowth,0.06019419
debttoassets,0.059596647
WGS3MOchange,0.057928853
 pe ,0.04465681
INDPRO,0.04416653
inventorygrowth,0.040017296
salesgrowth,0.03897264
WGS10YRchange,0.03690092
fcfgrowth,0.036259867
WGS3MOchange_diff_WGS10YRchange,0.035377406
evocf,0.033102997
m2supplychange,0.024342155
PSAVERTchange,0.023649165
fedfundschange,0.02053298
DEXCHUS,0.018651333
BUSLOANSchange,0.013212266
DGORDERchange,0.008946357
unrate,0.0060769357
BOGMBASEchange,0.0058559654
DEXUSEUchange,0.005391213
WBAA,0.0053404993
DEXCHUSchange,0.0039687217
