feature,mean_importance
Dist_Cluster_0,-0.0019175518090504217
fcfgrowth,-0.001844283274193903
Dist_Cluster_19,-0.0018403757416417866
inventorygrowth,-0.0018163622508120757
debttoassets,-0.0016978120353887348
Own Change,-0.0016103036027247165
Dist_Cluster_18,-0.001583392205453793
1ychangepe,-0.001398503293348763
currentratio,-0.001373158781775008
Insiders,-0.001066598550414699
ps,-0.0009322019991280017
debttoequity,-0.0009138361828523566
Price,-0.0009121368672949326
Dist_Cluster_15,-0.0006730357415091537
Dist_Cluster_12,-0.0006405455839933238
INDPRO,-0.0005454874193234315
Dist_Cluster_17,-0.0005374679851575248
pfcf,-0.0004886872992170388
Dist_Cluster_20,-0.0003899496603089081
Dist_Cluster_3,-0.0003535262653865945
capexocf,-0.0002581138363588642
Cluster,-0.0001678259994701281
assetgrowth,-0.00015312997311988096
BUSLOANS,-0.00012859975200300023
UNDCONTSAchange,-9.899568468219044e-05
TOTALSLchange,-8.45315603398622e-05
Dist_Cluster_14,-2.5450349029609853e-05
DEXCHUSchange,-2.839041245417118e-06
Dist_Cluster_16,0.0
BOGMBASEchange,0.0
PSAVERTchange,0.0
PSAVERT,0.0
ptb,0.0
WGS10YR,0.0
UNDCONTSA,0.0
TCUchange,0.0
BUSINV,0.0
BUSINVchange,0.0
SPCS20RSA,0.0
WGS3MOchange,0.0
TCU,0.0
fedfunds,0.0
DGORDERchange,0.0
BUSLOANSchange,0.0
TOTALSL,0.0
m2supply,0.0
HOUST,0.0
DGORDER,0.0
unrate,1.9142581124664825e-05
evs,4.047916532193829e-05
Dist_Cluster_6,9.173665171401391e-05
WBAAchange,9.756630098191054e-05
HOUSTchange,0.00010545889781219398
DEXUSEU,0.00017909849684558666
3yocfgrowth,0.00034868516985137044
Dist_Cluster_1,0.00034963071808591373
SPCS20RSAchange,0.0003582869745365813
DEXUSEUchange,0.0003615447295957752
Dist_Cluster_9,0.00039169716640637955
WBAA,0.0004341611265834877
Dist_Cluster_10,0.0005163568212907199
salesgrowth,0.0005538067809091052
Dist_Cluster_23,0.000557547823367921
Dist_Cluster_22,0.00062462320465414
Dist_Cluster_7,0.0006613246142025853
Dist_Cluster_4,0.000705675243574111
pb,0.0007188485225481878
DEXCHUS,0.0007926236149459753
sbcsales,0.0008119983987505463
INDPROchange,0.0008678538950756987
Dist_Cluster_11,0.0009046696672579069
debtgrowth,0.000932859864092983
Dist_Cluster_8,0.000958098015049258
Value Traded,0.0010017511984794947
capexsales,0.0012999143053789575
WGS3MO,0.001343606117502516
fedfundschange,0.0014308255952217186
m2supplychange,0.001451682113567676
netdebtebitda,0.0017007940274262445
evocf,0.001854303432814286
roic,0.0022014695359157677
BOGMBASE,0.002380175473703894
ebitgrowth,0.0027406547453698747
evebitda,0.0033154235505311047
interestcoverage,0.003359342027670964
3ysalesgrowth,0.0035742836316554174
Dist_Cluster_5,0.0036174715635936107
3yequitygrowth,0.004798998899827445
Dist_Cluster_21,0.005372159210954719
1ybeforepricechange,0.006523754883715749
 pe ,0.0070385656679850086
roe,0.007253723803933454
Dist_Cluster_13,0.008178343283827338
evfcf,0.009175216072548776
WGS10YRchange,0.013074515279368504
Dist_Cluster_2,0.01979317642583933
pocf,0.029287651212911336
