feature,shap_importance
pocf,0.437074
Dist_Cluster_2,0.35352138
Value Traded,0.22433987
interestcoverage,0.20980485
3ysalesgrowth,0.20969157
3yequitygrowth,0.1819911
1ybeforepricechange,0.17345564
Dist_Cluster_13,0.17013009
evebitda,0.1500264
roe,0.14235952
evs,0.100915946
 pe ,0.09814455
capexocf,0.09401589
evfcf,0.080783084
debtgrowth,0.0805372
assetgrowth,0.077947475
roic,0.07598554
WGS10YR,0.07553716
Own Change,0.07152279
ebitgrowth,0.07130919
Dist_Cluster_21,0.06996481
ps,0.0688523
HOUST,0.067266725
WGS10YRchange,0.06590647
pfcf,0.058144215
pb,0.056006193
Price,0.047912348
1ychangepe,0.04714144
Dist_Cluster_1,0.04576478
sbcsales,0.042371087
Dist_Cluster_20,0.041171387
Dist_Cluster_7,0.040485516
netdebtebitda,0.03978329
inventorygrowth,0.039189078
Dist_Cluster_4,0.039162204
debttoassets,0.039077777
TCU,0.038438547
capexsales,0.036772374
m2supplychange,0.030917447
Dist_Cluster_0,0.030567652
Dist_Cluster_19,0.02993345
currentratio,0.02713907
3yocfgrowth,0.025422009
Dist_Cluster_11,0.023720872
fcfgrowth,0.022494866
WBAAchange,0.02212751
Dist_Cluster_5,0.02168282
Dist_Cluster_17,0.020230692
debttoequity,0.02001699
BOGMBASE,0.019927867
salesgrowth,0.019590566
evocf,0.01908085
Dist_Cluster_22,0.01777213
Dist_Cluster_15,0.016775092
Dist_Cluster_8,0.01669147
Dist_Cluster_9,0.016311307
fedfundschange,0.015617859
Insiders,0.015519915
WBAA,0.015139087
Dist_Cluster_18,0.013449329
Dist_Cluster_3,0.012677441
BUSLOANSchange,0.012280311
WGS3MO,0.012199501
SPCS20RSAchange,0.0117095355
DEXCHUS,0.01166249
Dist_Cluster_12,0.011545864
Cluster,0.010912126
INDPROchange,0.00977105
Dist_Cluster_10,0.008587445
BUSLOANS,0.008460533
Dist_Cluster_23,0.0064457953
Dist_Cluster_6,0.0059800567
TCUchange,0.00587317
Dist_Cluster_14,0.0058518294
HOUSTchange,0.005553147
INDPRO,0.0052402723
Dist_Cluster_16,0.004574839
PSAVERT,0.0044395933
TOTALSLchange,0.004231793
DEXUSEUchange,0.0041444777
DEXCHUSchange,0.004078739
DGORDERchange,0.004022894
fedfunds,0.003927955
DEXUSEU,0.0029886283
UNDCONTSA,0.0016458118
BUSINVchange,0.0016072929
unrate,0.0015870341
UNDCONTSAchange,0.0013655878
m2supply,0.00040094976
BOGMBASEchange,0.0
PSAVERTchange,0.0
TOTALSL,0.0
DGORDER,0.0
BUSINV,0.0
SPCS20RSA,0.0
WGS3MOchange,0.0
ptb,0.0
