feature,mean_importance
evebitda,-0.01676130708375694
WGS10YR,-0.009953025779960522
fedfundschange,-0.009295036527014211
Insiders,-0.008482684561955733
WBAAchange,-0.007587169790108717
Own Change,-0.007002250132779475
DEXUSEUchange,-0.006069327281021386
PSAVERT,-0.006051779695030934
ebitgrowth,-0.004227898448378375
TOTALSLchange,-0.0042274766091836115
inventorygrowth,-0.0038549385569101925
netdebtebitda,-0.0032559411808147586
debttoequity,-0.0021935578260142254
UNDCONTSAchange,-0.0021543592253002396
salesgrowth,-0.002065487217390194
WBAA,-0.001797377648702292
m2supplychange,-0.0016019394150914358
WGS10YR_ratio_WBAA,-0.0009163475579811231
SPCS20RSA,-0.000904846116148994
fedfunds,-0.0008584639580059173
DGORDER,-0.0008107821241098212
BOGMBASEchange,-0.0005502192139048567
evfcf,-0.00043954625757162134
1ychangepe,-0.00034159554213980536
roic,7.76839575559185e-06
BUSINVchange,2.062246252380051e-05
roe,7.721993515470426e-05
TOTALSL,0.00018483407651513905
pfcf,0.00021614617628343825
evs,0.0003956439367172604
WGS3MO,0.0004366942558829079
pb,0.0007242776460988365
ptb,0.0007948544691946835
ps,0.0008664240326674455
DEXCHUS,0.0009021280064415493
capexocf,0.0010133560120145547
TCUchange,0.0012085320989495218
capexsales,0.0012692449460082634
DGORDERchange,0.0013551775908386076
WGS10YRchange_ratio_BOGMBASEchange,0.0014045729836805743
evocf,0.001446927672741871
HOUST,0.00147209703201433
3ysalesgrowth,0.0015574900450597395
DEXUSEU,0.001583653815802355
BUSINV,0.0016469977020103332
debtgrowth,0.0016529428580730142
INDPROchange,0.0018507131438348257
Value Traded,0.001928277425184799
3yocfgrowth,0.0020368223295810562
TCU,0.002066354720242325
WGS3MOchange_diff_WGS10YRchange,0.002136639811822161
TCUchange_ratio_WBAA,0.0024710595841074823
interestcoverage,0.002483402987462735
unrate,0.0024934508946197753
pocf,0.002787932741077759
INDPRO,0.003088318050004546
SPCS20RSAchange,0.0031040648499501946
WGS3MOchange,0.0037074112561387264
m2supply,0.004062736136370338
UNDCONTSA_multiply_WGS10YR,0.00437245177659309
WGS10YRchange,0.004871864437371054
UNDCONTSA,0.004879811165914616
BUSLOANSchange,0.004913892937690567
WGS10YRchange_diff_assetgrowth,0.005097476948626334
 pe _multiply_TCUchange,0.005573664915799826
BOGMBASE,0.005927768630608221
DEXCHUSchange,0.006825459937502565
WBAA_ratio_WGS10YR,0.007326570408823374
sbcsales,0.007335085059270563
HOUSTchange,0.007839628608862625
PSAVERTchange,0.008259136757903573
fcfgrowth,0.01095563549951184
3yequitygrowth,0.012346369501090748
BOGMBASEchange_ratio_WGS10YRchange,0.012879732661197529
TCUchange_ratio_TOTALSLchange,0.013383143421299959
BUSLOANS,0.01359880427217507
 pe ,0.014845000780332063
currentratio,0.016218240950039865
debttoassets,0.04220641560879505
Price,0.05159200010059604
assetgrowth,0.07648624748404358
1ybeforepricechange,0.13140364303521612
