feature,mean_importance
debttoassets,-0.016858004064806663
evebitda,-0.006992406284614549
evocf,-0.002761661855326114
BUSLOANSchange,-0.001709904153886632
inventorygrowth,-0.0015172145510996327
pocf,-0.0012652185887233936
salesgrowth,-0.00122977784359245
INDPRO,-0.0009883538673128855
WGS3MOchange_diff_WGS10YRchange,-0.000765678365313549
BOGMBASEchange_ratio_WGS10YRchange,-0.0006071261034335973
unrate,-0.0002547005759541032
pb,-0.00015171894936932828
3ysalesgrowth,-0.00010998823569280392
evfcf,-3.387518910666909e-05
3yocfgrowth,-2.015564333790465e-06
roic,-1.5541366977345206e-06
roe,2.2502534796553507e-05
ebitgrowth,7.252104953832106e-05
evs,0.0001507590908479739
1ychangepe,0.00018350173196964858
capexocf,0.0004065985906538949
ps,0.0005543311322769306
interestcoverage,0.0005948995093591591
DEXUSEUchange,0.0007773588136564036
Value Traded,0.0008807990108973595
fedfundschange,0.001268638888373641
TCUchange_ratio_TOTALSLchange,0.0013135720395995865
capexsales,0.0013785802946820857
BOGMBASEchange,0.0017087280646803204
WBAA,0.0018625079127151055
fcfgrowth,0.00209819932523847
m2supplychange,0.002290739069090475
WGS10YRchange_ratio_BOGMBASEchange,0.002496494992326059
WGS10YR_ratio_WBAA,0.0027071593347000713
PSAVERTchange,0.003135268613196562
WGS10YRchange,0.0031779814900850466
DGORDERchange,0.0033676377569426654
3yequitygrowth,0.0035175952732121596
WGS10YRchange_diff_assetgrowth,0.003592430958210613
assetgrowth,0.004093530952230684
WGS3MOchange,0.0051339790542905715
DEXCHUS,0.005164270947747995
 pe ,0.005371275094267114
DEXCHUSchange,0.006172053686911538
 pe _multiply_TCUchange,0.0063456324894585634
1ybeforepricechange,0.009235998242880739
Price,0.012362774637284923
