feature,mean_importance
inventorygrowth,-0.0014433728782834222
fcfgrowth,-0.0006575282870494803
debttoassets,-0.0003391737229260783
PSAVERTchange,-0.00011461486377817298
unrate,-0.00011241722350920912
debtgrowth,-0.00010989651076970253
salesgrowth,-0.00010723674747356026
UNDCONTSA,-9.541240461424794e-05
WGS3MOchange,-3.136886604726552e-05
Own Change,-1.2860311655960022e-05
pb,-1.1855073199584787e-05
BOGMBASEchange,-2.2204460492503132e-17
HOUSTchange,4.902405972506685e-07
Insiders,3.832347122312285e-06
WBAA,1.4637754406077175e-05
DEXUSEUchange,2.834865253987795e-05
DEXUSEU,3.494278877071988e-05
TOTALSL,5.188967913792864e-05
BUSLOANS,7.457061944817766e-05
m2supply,0.00010860387463134114
fedfunds,0.00011097000042428195
INDPRO,0.0001486940553688476
WBAAchange,0.00014902028038727978
INDPROchange,0.0001613777356800683
ptb,0.00016554021505329474
m2supplychange,0.0001669048799414874
HOUST,0.00019093588271738016
1ychangepe,0.0002112199087350497
WGS10YR,0.00022517370888721632
ebitgrowth,0.00023119582422062023
Value Traded,0.00023358761287456398
UNDCONTSAchange,0.0002542813151113599
currentratio,0.0002740142710017879
debttoequity,0.00035541519431180334
evs,0.0003600266073696012
PSAVERT,0.00043548936917929825
SPCS20RSA,0.00045477823096324866
netdebtebitda,0.00046441989891946587
 pe ,0.0005958244549395975
fedfundschange,0.0006148971577712437
evocf,0.0006186709441228122
evfcf,0.0006708646071329483
DGORDERchange,0.000674758330147629
ps,0.0007742363816805708
TOTALSLchange,0.0008137725772992543
DEXCHUSchange,0.0008309301644649936
capexocf,0.0008316372524313831
SPCS20RSAchange,0.0008731241446489513
BUSINV,0.0008796488985441164
assetgrowth,0.0009689680676557511
capexsales,0.0009971691259333837
1ybeforepricechange,0.0011128386583593053
WGS3MO,0.0013130390591786557
BUSINVchange,0.00139983110610713
TCUchange,0.001815658805059983
pfcf,0.0018434123704291316
Price,0.0019286437716801274
TCU,0.0019433133489131782
3yocfgrowth,0.0021803336876890953
3yequitygrowth,0.0028431284248081946
3ysalesgrowth,0.0031576308164301347
DEXCHUS,0.0038777393014606367
WGS10YRchange,0.004150479771835825
DGORDER,0.004469727386761035
interestcoverage,0.004719403261735899
BOGMBASE,0.005413155251247681
BUSLOANSchange,0.007036204517409517
roic,0.007465728595078447
roe,0.008192538833379203
sbcsales,0.00957734801339517
pocf,0.014505302954029598
evebitda,0.016266613745161883
