feature,shap_importance
evebitda,0.031335431565675635
pocf,0.019123402580056986
sbcsales,0.018395313506429364
roic,0.016413508695270605
roe,0.015804543413995148
interestcoverage,0.011627965304282699
BUSLOANSchange,0.007716128596183103
BOGMBASE,0.005703122932141106
DGORDER,0.00457264529590576
DEXCHUS,0.004347687432819218
3ysalesgrowth,0.003900124186507558
evfcf,0.0038250767214585537
Price,0.0037244610058952536
ps,0.00367554569639748
WGS10YRchange,0.0036176580294656284
pfcf,0.0034352865115441396
assetgrowth,0.0029672747889849223
debtgrowth,0.002882086561382392
inventorygrowth,0.0025565955508459752
3yocfgrowth,0.002553590273519519
3yequitygrowth,0.002466341360315121
capexocf,0.0023909843214664672
debttoassets,0.0023899301098034608
WGS3MO,0.002324620036904113
TCU,0.0022809780034000414
fcfgrowth,0.0020636059034875465
1ychangepe,0.0018672714348559616
TCUchange,0.0018424233093557309
BUSINVchange,0.0016600078242994683
capexsales,0.0016099702031446147
1ybeforepricechange,0.0015051885820712995
netdebtebitda,0.0014848460636929562
DEXCHUSchange,0.0012422120918581946
 pe ,0.0011600190180863696
Value Traded,0.0010356916407394477
evocf,0.0010302969995278474
debttoequity,0.0009434692132080903
TOTALSLchange,0.0009041173188581656
WBAAchange,0.000825694158863526
DGORDERchange,0.000748966802505718
currentratio,0.0007163495496532746
SPCS20RSAchange,0.0006941326908605839
BUSINV,0.0006404059169663923
PSAVERT,0.0005541735848353269
ebitgrowth,0.0005391599145052121
Own Change,0.0005248832963992181
UNDCONTSAchange,0.0004979399781082653
SPCS20RSA,0.00042762666422515027
ptb,0.0004255938089574376
PSAVERTchange,0.0004242082630581201
Insiders,0.0004183803752737485
evs,0.0003846727390945396
fedfundschange,0.0003614223925929385
WGS10YR,0.00031784784775230884
salesgrowth,0.0002768909823412865
INDPRO,0.00027479683184454675
BUSLOANS,0.0002647681262819391
pb,0.0002469850657444855
INDPROchange,0.000210347998878631
HOUST,0.0002071389282639398
unrate,0.00017540369396001313
UNDCONTSA,0.00015575480251261712
WBAA,0.00014586406201057265
m2supply,0.0001382438405013948
DEXUSEU,0.00012644236423240874
m2supplychange,0.0001229877885790755
DEXUSEUchange,0.00011926546281496362
HOUSTchange,0.00011508743686655957
fedfunds,0.00010506973928982193
TOTALSL,6.578203967230188e-05
WGS3MOchange,5.1324342096331506e-05
BOGMBASEchange,0.0
