feature,mean_importance
inventorygrowth,-0.001626858091203298
WBAAchange,-0.0005612947800274215
Own Change,-0.0002823694927152509
debttoassets,-0.00027752315231232004
salesgrowth,-0.0002330873705998271
fcfgrowth,-0.0001902637504755722
currentratio,-0.000146194113067033
1ychangepe,-0.00014563238795911593
UNDCONTSA_multiply_WGS10YR,-9.053148807888211e-05
BUSLOANS,-5.176256632372089e-05
debtgrowth,-3.3370935705345774e-05
UNDCONTSA,9.992007221626409e-17
unrate,9.992007221626409e-17
m2supply,9.992007221626409e-17
DEXUSEU,9.992007221626409e-17
WGS10YR_ratio_WBAA,1.1102230246251565e-16
TCUchange_ratio_WBAA,1.1102230246251565e-16
INDPROchange,1.1102230246251565e-16
WBAA_ratio_WGS10YR,3.2111944910373502e-06
pb,2.399994761825841e-05
WGS10YR,2.4452930835261456e-05
HOUSTchange,2.5041265052294646e-05
WBAA,3.239989360733775e-05
Value Traded,5.17134223983029e-05
m2supplychange,5.473085038650849e-05
WGS3MOchange,6.605659513725382e-05
BOGMBASEchange,7.028281415190074e-05
fedfundschange,9.667788993997784e-05
DEXUSEUchange,0.00011258058833065742
UNDCONTSAchange,0.00011941379204725156
ptb,0.00012702680280517463
Insiders,0.0001317766331387138
fedfunds,0.00013580472333197814
PSAVERTchange,0.0001547078204498842
TOTALSLchange,0.00016695731659969182
netdebtebitda,0.00017587047455024373
HOUST,0.00018498487841113188
INDPRO,0.000224098993093913
evs,0.00024239903272761377
WGS3MO,0.0002722663076118681
PSAVERT,0.0003295619804401295
ebitgrowth,0.0004184737667389693
TCUchange,0.00042363348856342407
DGORDERchange,0.0004459329862200989
capexocf,0.000473437904320273
debttoequity,0.0005255686528237713
ps,0.0005460240279290818
TOTALSL,0.0005475246507640419
SPCS20RSA,0.0005524887579958726
TCU,0.0006639623551144113
pfcf,0.0006955255783819836
BUSINVchange,0.0007190635448831694
DEXCHUSchange,0.0007907842541956089
BUSINV,0.0008734988032995106
evfcf,0.0009055173614607393
evocf,0.001092941377817147
BOGMBASE,0.0011864357462179175
DEXCHUS,0.0012082746209243877
DGORDER,0.00123837360513277
TCUchange_ratio_TOTALSLchange,0.0012440803991302207
capexsales,0.0012544672473309483
 pe ,0.0012708365391295273
SPCS20RSAchange,0.001306267957227114
BOGMBASEchange_ratio_WGS10YRchange,0.0013162700474947608
assetgrowth,0.0014066027508901403
Price,0.0014768838769404157
WGS10YRchange,0.0015133173163090707
3yocfgrowth,0.0017599753310057254
1ybeforepricechange,0.0018272422851021042
3yequitygrowth,0.0019331438974795278
BUSLOANSchange,0.0019449765698395405
WGS3MOchange_diff_WGS10YRchange,0.002169182254180757
3ysalesgrowth,0.002492060961976461
WGS10YRchange_ratio_BOGMBASEchange,0.0031828064667573154
interestcoverage,0.0037142303789716503
WGS10YRchange_diff_assetgrowth,0.004234858202915803
sbcsales,0.00918919998744635
roic,0.009456968466674043
roe,0.010870094161674693
pocf,0.0135546048699827
evebitda,0.013985047380048122
 pe _multiply_TCUchange,0.01478480017726761
