feature,shap_importance
evebitda,0.02718049304720499
roic,0.019878026521681032
roe,0.01949904751071418
pocf,0.018623909829072027
sbcsales,0.017054702494046347
 pe _multiply_TCUchange,0.015943364786851648
interestcoverage,0.009650443230499493
WGS10YRchange_diff_assetgrowth,0.005451224430010018
WGS10YRchange_ratio_BOGMBASEchange,0.003675596595001884
3ysalesgrowth,0.003606729213391689
inventorygrowth,0.0033821716475413784
evfcf,0.00336805738842748
debtgrowth,0.0031282597842874483
assetgrowth,0.0031209750980547898
Price,0.0030927592058316773
WGS3MOchange_diff_WGS10YRchange,0.0030312182909476896
pfcf,0.002992334715663941
BUSLOANSchange,0.0024939455459004403
BOGMBASE,0.0020342253588835403
debttoassets,0.0018680176748865252
3yocfgrowth,0.0017933328828578395
1ychangepe,0.001764297113639217
fcfgrowth,0.0017640814632086759
capexsales,0.001741784236649997
 pe ,0.001615018585647574
1ybeforepricechange,0.0016053237930423725
BOGMBASEchange_ratio_WGS10YRchange,0.001599155742772347
3yequitygrowth,0.0015935399280123219
netdebtebitda,0.0015150130236790476
DGORDER,0.0015062960881076725
DEXCHUS,0.0013861705698249825
WGS10YRchange,0.0013205096084862994
ps,0.0012686420967825246
currentratio,0.0012593246372445228
TCUchange_ratio_TOTALSLchange,0.0011434602491276068
BUSINVchange,0.001132729984325932
Own Change,0.0011107224990172136
evocf,0.0010244383442371673
capexocf,0.001023132524169761
DEXCHUSchange,0.0010012096137823753
TCU,0.0009323752006738815
pb,0.0008984793858825492
BUSINV,0.0008862810112122173
SPCS20RSAchange,0.0008745422282420224
WBAAchange,0.0007947082409083985
ebitgrowth,0.0007893381729866453
PSAVERT,0.0007715245273917034
evs,0.0007161621377155387
ptb,0.0006362687045065104
SPCS20RSA,0.0006034204717243396
debttoequity,0.0006002157141921898
PSAVERTchange,0.0005792754212934017
DGORDERchange,0.0005777002116064263
UNDCONTSA_multiply_WGS10YR,0.0005680523050631226
Value Traded,0.0005387089434221701
Insiders,0.00048140834270302683
UNDCONTSAchange,0.0004517152270764709
TCUchange,0.00044972017215252154
WBAA,0.0004007801065507692
HOUSTchange,0.0003290020672274234
salesgrowth,0.00032183598841340714
INDPRO,0.00030446778959439133
m2supplychange,0.0002620596658375792
HOUST,0.00026104593947531813
WGS3MOchange,0.0002593727924507124
WBAA_ratio_WGS10YR,0.0002009982934008533
TOTALSL,0.0001997300632607509
BUSLOANS,0.00019257481750008425
DEXUSEUchange,0.00018630771485844574
WGS3MO,0.0001851726326349784
TOTALSLchange,0.00017356279515084495
BOGMBASEchange,0.00016015975989279598
fedfundschange,0.00010447622441707064
fedfunds,7.567931028909325e-05
WGS10YR,7.227852515051556e-05
m2supply,0.0
UNDCONTSA,0.0
INDPROchange,0.0
DEXUSEU,0.0
TCUchange_ratio_WBAA,0.0
WGS10YR_ratio_WBAA,0.0
unrate,0.0
