feature,mean_importance
inventorygrowth,-0.0015569209902930648
fcfgrowth,-0.00045264639322634137
UNDCONTSA,-0.00036217689443927
Dist_Cluster_1,-0.0002360941898689295
Own Change,-0.00023586426100373757
unrate,-0.00013181839223789238
Dist_Cluster_18,-0.0001292505142832967
Dist_Cluster_3,-0.00012340425984287419
Dist_Cluster_20,-0.000114126862295294
salesgrowth,-0.00010407196116419825
ebitgrowth,-6.519223701764165e-05
Dist_Cluster_17,-6.050982536279781e-05
ps,-4.947831378385725e-05
Dist_Cluster_4,-2.0644946180148338e-05
INDPRO,-1.498347813073675e-05
debttoassets,-9.196965250701794e-06
TOTALSL,0.0
BUSLOANS,0.0
DEXUSEU,0.0
WGS10YR,0.0
WGS3MOchange,0.0
pb,1.116258859842345e-05
DEXUSEUchange,1.6605448439499514e-05
Dist_Cluster_23,2.335824026555855e-05
Dist_Cluster_7,2.6733545259860493e-05
Dist_Cluster_11,5.038956613377943e-05
HOUSTchange,5.3064313377426675e-05
UNDCONTSAchange,0.00011614615841509801
m2supplychange,0.00011677050354632623
fedfunds,0.00012021034962215183
BOGMBASEchange,0.0001305794187321796
Dist_Cluster_8,0.00013540163959212536
currentratio,0.00014789559719297074
PSAVERT,0.00014864640414347097
TOTALSLchange,0.00017404688683525515
TCU,0.0001775888236118073
Insiders,0.00018142788170438795
Dist_Cluster_12,0.00019616464766176734
debttoequity,0.00020063497882137903
m2supply,0.00020217264283574067
WBAA,0.00023097915712109174
Dist_Cluster_10,0.0002379107979166517
Dist_Cluster_2,0.00024500265442055634
Dist_Cluster_6,0.0002724113645763193
1ychangepe,0.00028151042145890814
debtgrowth,0.00029612774393236176
HOUST,0.00031599807489847144
fedfundschange,0.00032891754276803686
Dist_Cluster_0,0.00035237037298609943
SPCS20RSA,0.00036170744172213664
1ybeforepricechange,0.000377528185832432
Value Traded,0.00037866170718260373
ptb,0.0003918192587183511
WBAAchange,0.0004207906693880936
DGORDERchange,0.0004565504673201937
netdebtebitda,0.0004654426562710201
DEXCHUSchange,0.0004751404570789375
PSAVERTchange,0.00048792120777890746
evs,0.0004986212642496101
INDPROchange,0.0005231950447839639
Dist_Cluster_13,0.0005425898926803118
Dist_Cluster_16,0.0005696882991998775
Dist_Cluster_21,0.0005738262713401165
TCUchange,0.0006501717109067884
capexocf,0.0006513394848199683
Cluster,0.0006532053560552309
Dist_Cluster_15,0.0006938242768405933
evfcf,0.0007117428837533968
Dist_Cluster_22,0.0007384647875020911
BUSINV,0.0008170424201417448
capexsales,0.0008293872318197448
Dist_Cluster_9,0.0008871378945643826
Dist_Cluster_19,0.0008934524869534055
 pe ,0.000894924701617339
SPCS20RSAchange,0.0009782470715049784
DGORDER,0.0011461781170045038
BUSINVchange,0.0012762844053730515
pfcf,0.0013417617777944368
assetgrowth,0.0013433234623282386
evocf,0.0014311281442927037
3yocfgrowth,0.0014566361953768149
3yequitygrowth,0.0016430937538538305
3ysalesgrowth,0.002046451063308874
WGS3MO,0.0020527163820370673
BOGMBASE,0.002236160185998226
Price,0.0023281920485790698
Dist_Cluster_5,0.0023321747018108406
Dist_Cluster_14,0.003254220875768432
WGS10YRchange,0.003893141929663113
DEXCHUS,0.004051204463141089
interestcoverage,0.004592543985407848
BUSLOANSchange,0.004893757791369202
roic,0.009044914999871345
sbcsales,0.00971478283815529
roe,0.0110264329369943
evebitda,0.012186477694524444
pocf,0.012555992311688335
