feature,shap_importance
evebitda,0.02679633419026798
pocf,0.01971030986215534
roic,0.019294082144473774
sbcsales,0.019220390255662023
roe,0.018520992647138204
interestcoverage,0.010064706956550406
BUSLOANSchange,0.005740093984064192
assetgrowth,0.0035753513444013226
WGS10YRchange,0.003556962127866475
DEXCHUS,0.0035228444503136043
inventorygrowth,0.0034920704191562083
Price,0.0033824314254309725
Dist_Cluster_14,0.0033489479542647763
pfcf,0.0032627770886585624
WGS3MO,0.003071669226385677
evfcf,0.002953938909375539
Dist_Cluster_5,0.0027111404978795678
BOGMBASE,0.0026083919750685114
debttoassets,0.0023021566752703198
Dist_Cluster_19,0.0022359282163146284
3ysalesgrowth,0.002148384209199778
capexocf,0.0019587290241073712
evocf,0.0018829648748904992
netdebtebitda,0.0017462115566515507
fcfgrowth,0.0017067500298060237
3yequitygrowth,0.0016788604215244966
debtgrowth,0.0016733434257961196
1ychangepe,0.001626923339673032
 pe ,0.0014393167925104433
capexsales,0.0013948961769788377
DGORDER,0.001329146243626914
Dist_Cluster_9,0.0012353931276666461
3yocfgrowth,0.0012287238290884374
Dist_Cluster_16,0.0012006592404944455
Dist_Cluster_20,0.0011937252813570085
BUSINVchange,0.0011605625463707396
Dist_Cluster_15,0.0010924582838008202
ps,0.0010146857061338838
Dist_Cluster_22,0.0008686962900249729
PSAVERTchange,0.0008685921686958753
DEXCHUSchange,0.0008023877647524853
TCUchange,0.0007769667228562973
SPCS20RSAchange,0.0007685407459909759
Own Change,0.0007678982225409112
Value Traded,0.0007511702607042977
WBAAchange,0.0007017637966635708
WBAA,0.000664068120148724
Dist_Cluster_0,0.0006580747225850754
Dist_Cluster_1,0.0006215761532545574
Cluster,0.0006123960578982914
currentratio,0.0006084826219279169
Dist_Cluster_18,0.0006009120603614879
evs,0.0006008742059238411
BUSINV,0.0005949180924045359
1ybeforepricechange,0.0005648147891188021
TOTALSLchange,0.0005148336866285663
ptb,0.0004907946173127042
Dist_Cluster_2,0.0004872579917112147
INDPROchange,0.00048554809165942146
UNDCONTSAchange,0.00047627329226250834
DGORDERchange,0.0004521922341726105
m2supplychange,0.0004152445475639127
PSAVERT,0.00041340932615298515
Dist_Cluster_12,0.00039919538449934206
ebitgrowth,0.0003984740688274012
Insiders,0.0003920145962324642
debttoequity,0.00038825157746058016
Dist_Cluster_10,0.0003782178224324035
Dist_Cluster_13,0.00036092494246299766
Dist_Cluster_7,0.00035122551013084516
SPCS20RSA,0.00034830925904740667
Dist_Cluster_8,0.00034004503917483577
BOGMBASEchange,0.0003319515832557932
HOUST,0.0003307126618923276
salesgrowth,0.00031812734071314793
Dist_Cluster_3,0.00031347582437173176
UNDCONTSA,0.0003073086011569114
m2supply,0.00027875408350305433
TCU,0.00027622076992294916
Dist_Cluster_17,0.0002685676677078389
Dist_Cluster_21,0.0002473895797680148
Dist_Cluster_23,0.0002445808774594813
fedfundschange,0.0002335639020260574
Dist_Cluster_11,0.00022461696778620227
Dist_Cluster_6,0.0002094882479482258
HOUSTchange,0.00017459439310858426
pb,0.00014489848627953996
unrate,0.00013477219493210303
Dist_Cluster_4,0.0001260615164694474
fedfunds,8.014100599919816e-05
DEXUSEUchange,2.0950626452127383e-05
INDPRO,1.147557434852999e-05
WGS10YR,0.0
DEXUSEU,0.0
WGS3MOchange,0.0
BUSLOANS,0.0
TOTALSL,0.0
