name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,average_precision,0.14397905759162305,0.68
2_DecisionTree,Decision Tree,average_precision,0.41323763753328735,10.3
3_Linear,Linear,average_precision,0.36479904724747986,3.08
4_Default_Xgboost,Xgboost,average_precision,0.5773539863115661,3.98
5_Default_NeuralNetwork,Neural Network,average_precision,0.41983388682336165,1.44
6_Default_RandomForest,Random Forest,average_precision,0.6005606266015439,7.56
6_Default_RandomForest_GoldenFeatures,Random Forest,average_precision,0.5703916669841252,7.27
4_Default_Xgboost_GoldenFeatures,Xgboost,average_precision,0.617837798911279,3.92
5_Default_NeuralNetwork_GoldenFeatures,Neural Network,average_precision,0.4761017154777161,1.88
6_Default_RandomForest_KMeansFeatures,Random Forest,average_precision,0.5665072054958608,6.04
4_Default_Xgboost_KMeansFeatures,Xgboost,average_precision,0.5600486938486277,4.61
5_Default_NeuralNetwork_KMeansFeatures,Neural Network,average_precision,0.44899872409216407,2.33
4_Default_Xgboost_GoldenFeatures_RandomFeature,Xgboost,average_precision,0.5889956329213636,2.89
4_Default_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,average_precision,0.6745365668685144,4.41
6_Default_RandomForest_SelectedFeatures,Random Forest,average_precision,0.5937921517331304,4.72
5_Default_NeuralNetwork_GoldenFeatures_SelectedFeatures,Neural Network,average_precision,0.32228763453750636,1.99
Ensemble,Ensemble,average_precision,0.6745365668685144,0.47
