feature,weight
intercept,-2.4533683235182373
unrate,-1.032582248333746
m2supply,0.029534777618473243
m2supplychange,0.739690127051548
fedfunds,-0.11588702795575397
fedfundschange,0.16772800046332723
WGS3MO,-0.1994105676081884
WGS3MOchange,-0.04906113367047573
WGS10YR,0.9954304845926145
WGS10YRchange,0.2717714162757257
WBAA,-0.7528064832251999
WBAAchange,-0.8519852736350391
DEXUSEU,0.5419823361895025
DEXUSEUchange,-0.500826126315509
DEXCHUS,-0.4620532412675012
DEXCHUSchange,-0.05783537669205332
SPCS20RSA,0.1922920974266012
SPCS20RSAchange,0.039895605120736755
INDPRO,-0.26756319476165774
INDPROchange,0.19739678679379208
TCU,-0.3629811982827773
TCUchange,0.04401860365252206
BUSINV,0.074433602767183
BUSINVchange,1.0339922511639141
DGORDER,-0.09323561688568346
DGORDERchange,-0.14084139305952084
BUSLOANS,-0.31404647508037753
BUSLOANSchange,0.09600014026092699
TOTALSL,0.19057607148669786
TOTALSLchange,-0.3046716207674139
HOUST,0.6129656463319905
HOUSTchange,-0.2809133009943094
UNDCONTSA,-0.08437378839372711
UNDCONTSAchange,-0.8532872466622845
PSAVERT,0.20228180850600028
PSAVERTchange,-0.2066227337460215
BOGMBASE,0.08893974893523961
BOGMBASEchange,-0.8178864808936002
Insiders,-0.007495539677394076
Own Change,0.03775999294685103
Value Traded,0.04151406441013452
Price,-0.19341300966192024
1ybeforepricechange,-0.32547071822117724
 pe ,-0.12585949427214135
1ychangepe,0.011187785199374585
ps,-0.03692492053518966
pocf,-0.6548170908633328
pfcf,0.012390158509075608
pb,0.0349127075012116
ptb,0.0349127075012116
evs,0.13283726724609068
evebitda,0.05250855994649799
evocf,0.6336516879582784
evfcf,0.07065976376216972
debttoequity,0.06123060520721791
debttoassets,0.14448731522994382
netdebtebitda,-0.05495356208764936
currentratio,-1.0388734338137895
interestcoverage,-0.09844494656277032
capexocf,-0.23388684543093669
capexsales,-0.12476571601196652
sbcsales,-0.03081750542123983
roic,-0.47538140060761785
roe,-0.32367818324098274
salesgrowth,0.0744558765660326
ebitgrowth,0.015789378632582517
fcfgrowth,-0.42380644926108646
3ysalesgrowth,0.024783598410085397
3yocfgrowth,0.04509013501403776
3yequitygrowth,0.001149629821203601
inventorygrowth,-0.18313106797270853
assetgrowth,0.34006487200405056
debtgrowth,0.0218572790101236
