feature,mean_importance
fedfundschange,-0.004150634292169775
DEXUSEUchange,-0.0031313074804830256
TOTALSLchange,-0.002889141570062892
inventorygrowth,-0.002670709369163382
WBAA,-0.0017894614151581334
WGS3MO,-0.0016725945644085916
ebitgrowth,-0.0013975361205515679
WGS10YR,-0.0010686862023725151
BUSINV,-0.0008678810498654154
fedfunds,-0.0008347338560288908
BOGMBASEchange,-0.0008213961688931515
Insiders,-0.0006728179629865938
PSAVERT,-0.0006049954539482982
3ysalesgrowth,-0.0002707776718854804
debttoequity,-0.00023947852974520734
3yocfgrowth,-0.00019835085940774765
capexocf,-0.00015437218473592917
debtgrowth,-0.00013683884464125163
TOTALSL,-0.00012449657305018124
SPCS20RSA,-3.17138100936476e-05
roe,-1.651975971199704e-05
roic,5.546589504090704e-06
pb,7.952993661641817e-06
ptb,3.6522649132220145e-05
BUSINVchange,0.00020200667361658375
Value Traded,0.0005347564921355463
HOUST,0.0005400081991257299
salesgrowth,0.000557507276311342
interestcoverage,0.0006932542215803194
m2supply,0.0007708652119585823
capexsales,0.0009885535186065831
UNDCONTSAchange,0.0010143292008157224
1ychangepe,0.001161778610678932
sbcsales,0.0011880166562030837
INDPRO,0.0012091200167300808
unrate,0.0013965057289346162
evfcf,0.0014180981551558224
ps,0.0015030010103638468
m2supplychange,0.0015367059395653194
pfcf,0.0015908582091506362
BOGMBASE,0.0017139243002408321
INDPROchange,0.0018325270016271156
DGORDERchange,0.002070578118541844
Own Change,0.002377902663229692
DGORDER,0.002680848003985803
PSAVERTchange,0.0027565414881418394
WBAAchange,0.0029092698965105133
TCU,0.0030202221725050384
evs,0.0030596362750898278
pocf,0.0036691696136866626
DEXCHUS,0.003713721106586554
3yequitygrowth,0.004161784794626866
HOUSTchange,0.004536963666558614
 pe ,0.004665260466664134
fcfgrowth,0.004673019803556855
evocf,0.004675831245704298
BUSLOANS,0.004784913790839141
DEXCHUSchange,0.005476126470972775
debttoassets,0.005498898461103852
netdebtebitda,0.005537542558885333
UNDCONTSA,0.005952561254913868
SPCS20RSAchange,0.00614874518891928
TCUchange,0.006292140010096148
WGS3MOchange,0.006985789874316794
WGS10YRchange,0.007298162526496487
BUSLOANSchange,0.007351681261411114
evebitda,0.007710975558614797
DEXUSEU,0.009132505282486903
assetgrowth,0.016280726543807567
currentratio,0.017284387945190903
1ybeforepricechange,0.03210289907851536
Price,0.041699943114266017
