feature,mean_importance
inventorygrowth,-0.0014433728782833777
fcfgrowth,-0.0006575282870494248
debttoassets,-0.00033917372292602277
PSAVERTchange,-0.00011461486377810637
unrate,-0.00011241722350915361
debtgrowth,-0.00010989651076964702
salesgrowth,-0.00010723674747350475
UNDCONTSA,-9.541240461420352e-05
WGS3MOchange,-3.136886604721001e-05
Own Change,-1.2860311655893408e-05
pb,-1.1855073199529275e-05
BOGMBASEchange,4.4408920985006264e-17
HOUSTchange,4.902405973061796e-07
Insiders,3.832347122378898e-06
WBAA,1.4637754406132686e-05
DEXUSEUchange,2.834865253992236e-05
DEXUSEU,3.4942788770764285e-05
TOTALSL,5.188967913799525e-05
BUSLOANS,7.457061944823317e-05
m2supply,0.00010860387463138555
fedfunds,0.00011097000042434857
INDPRO,0.00014869405536889203
WBAAchange,0.00014902028038732418
INDPROchange,0.00016137773568012382
ptb,0.00016554021505335025
m2supplychange,0.00016690487994154292
HOUST,0.00019093588271743567
1ychangepe,0.0002112199087350941
WGS10YR,0.00022517370888728295
ebitgrowth,0.00023119582422067574
Value Traded,0.0002335876128745973
UNDCONTSAchange,0.0002542813151114154
currentratio,0.00027401427100185447
debttoequity,0.00035541519431186996
evs,0.00036002660736967896
PSAVERT,0.00043548936917935376
SPCS20RSA,0.00045477823096328195
netdebtebitda,0.0004644198989195214
 pe ,0.000595824454939653
fedfundschange,0.0006148971577712881
evocf,0.0006186709441228678
evfcf,0.0006708646071330148
DGORDERchange,0.0006747583301476845
ps,0.0007742363816806375
TOTALSLchange,0.0008137725772993099
DEXCHUSchange,0.0008309301644650712
capexocf,0.0008316372524314497
SPCS20RSAchange,0.0008731241446490068
BUSINV,0.0008796488985441497
assetgrowth,0.0009689680676558066
capexsales,0.0009971691259334392
1ybeforepricechange,0.0011128386583593608
WGS3MO,0.0013130390591787112
BUSINVchange,0.0013998311061071966
TCUchange,0.0018156588050600275
pfcf,0.0018434123704291871
Price,0.001928643771680183
TCU,0.0019433133489132226
3yocfgrowth,0.002180333687689151
3yequitygrowth,0.00284312842480825
3ysalesgrowth,0.0031576308164302015
DEXCHUS,0.003877739301460703
WGS10YRchange,0.004150479771835869
DGORDER,0.0044697273867610795
interestcoverage,0.004719403261735955
BOGMBASE,0.005413155251247736
BUSLOANSchange,0.007036204517409583
roic,0.007465728595078491
roe,0.008192538833379259
sbcsales,0.009577348013395225
pocf,0.014505302954029641
evebitda,0.016266613745161952
